show_id,episode_id,audio_url,episode_title,reason
1467297559,2debf9512e8d7645,https://www.podtrac.com/pts/redirect.mp3/pscrb.fm/rss/p/mgln.ai/e/257/traffic.megaphone.fm/VMP7054333463.mp3,Maximum Don (with Alex Isenstadt & Doug Heye),"stream failed: ('Connection broken: IncompleteRead(3489516 bytes read, 53967448 more expected)', IncompleteRead(3489516 bytes read, 53967448 more expected))"
1485021241,36b5cc54ad522181,https://dts.podtrac.com/redirect.mp3/d2h6a3ly6ooodw.cloudfront.net/reasontv_audio_8302725.mp3,Penny Lane: Why I Gave a Kidney to a Total Stranger,HTTP 404
1485021241,36b5cc54ad522181,https://dts.podtrac.com/redirect.mp3/d2h6a3ly6ooodw.cloudfront.net/reasontv_audio_8302725.mp3,Penny Lane: Why I Gave a Kidney to a Total Stranger,HTTP 404
1485021241,36b5cc54ad522181,https://dts.podtrac.com/redirect.mp3/d2h6a3ly6ooodw.cloudfront.net/reasontv_audio_8302725.mp3,Penny Lane: Why I Gave a Kidney to a Total Stranger,HTTP 404
1495601614,de0bda928656c687,https://podtrac.com/pts/redirect.mp3/pscrb.fm/rss/p/arttrk.com/p/D5CA5/mgln.ai/e/28/traffic.omny.fm/d/clips/e73c998e-6e60-432f-8610-ae210140c5b1/57c236de-aec0-46c1-b141-ae3c00026d77/e32e0dfb-fbaa-4ac5-a3dc-b40401484cb7/audio.mp3?utm_source=Podcast&in_playlist=84cf551f-a33b-41d8-b112-af2a01167541,Bonus:  Daily Review with Clay and Buck - Mar 5 2026,"ReadTimeout: HTTPSConnectionPool(host='28243.mc.tritondigital.com', port=443): Read timed out. (read timeout=30)"
1681586867,dea3a35d66776d88,https://podtrac.com/pts/redirect.mp3/traffic.omny.fm/d/clips/e73c998e-6e60-432f-8610-ae210140c5b1/33540024-ed06-44d0-a06c-b33100f8453e/ac05a7b4-9943-4489-b1e5-b3320132dd24/audio.mp3?utm_source=Podcast&in_playlist=2307f122-2695-49ea-a058-b33100f84545,How Money and Corruption Obstruct Criminal Justice | A Conversation with Vicky Ward,HTTP 500
1681586867,f701e0aaa6968588,https://podtrac.com/pts/redirect.mp3/traffic.omny.fm/d/clips/e73c998e-6e60-432f-8610-ae210140c5b1/33540024-ed06-44d0-a06c-b33100f8453e/06990689-8030-4d32-a3b3-b331017895ae/audio.mp3?utm_source=Podcast&in_playlist=2307f122-2695-49ea-a058-b33100f84545,Why Independent Journalism May Save Democracy | A Conversation with Judd Legum,"ReadTimeout: HTTPSConnectionPool(host='28243.mc.tritondigital.com', port=443): Read timed out. (read timeout=30)"
1681586867,16b15eafca302f1a,https://podtrac.com/pts/redirect.mp3/traffic.omny.fm/d/clips/e73c998e-6e60-432f-8610-ae210140c5b1/33540024-ed06-44d0-a06c-b33100f8453e/78f8ffe3-1469-4b8c-bdac-b3760167370a/audio.mp3?utm_source=Podcast&in_playlist=2307f122-2695-49ea-a058-b33100f84545,Why The Media Is Complicit In Trump's Crimes Against America | A Conversation with Matthew Dowd,"ReadTimeout: HTTPSConnectionPool(host='28243.mc.tritondigital.com', port=443): Read timed out. (read timeout=30)"
1728340033,c61a31413ad57d42,https://podtrac.com/pts/redirect.mp3/traffic.omny.fm/d/clips/e73c998e-6e60-432f-8610-ae210140c5b1/485bef61-b08e-4849-88be-b0fa0111de37/98029bd2-ad9a-406e-af03-b27e0057c9ae/audio.mp3?utm_source=Podcast&in_playlist=93e2b79d-acec-404d-abfe-b0fa01125f97,The Cult of Trump (with Steven Hassan),"ReadTimeout: HTTPSConnectionPool(host='28243.mc.tritondigital.com', port=443): Read timed out. (read timeout=30)"
1730358737,3bdd9cd1ee79bea5,https://api.substack.com/feed/podcast/147133381/9d5e07ce27df9c7a36bd6818bda4139d.mp3,"July 28, 2024",HTTP 429
