show,extracted_host,match_confidence,is_candidate,candidate_cfscore,is_donor,donor_cfscore,donor_n_donations,donor_occupation_employer,notes
Fox Across America w/ Jimmy Failla,Jimmy Failla,no_match,False,,False,,,,
The Conversation with Dasha Burns,Dasha Burns,no_match,False,,False,,,,
The Buck Sexton Show,Buck Sexton,no_match,False,,False,,,,
The Michael Berry Show,Michael Berry,ambiguous,True,,True,,,"361 distinct same-name donors, 9 media-flagged","4 same-name candidates in DIME; 361 same-name donors in DIME, none uniquely media-flagged"
The Pete Quiñones Show,Pete Quiñones,low_no_disambiguation,False,,True,1.282,1,president / metro amb,
The Remnant with Jonah Goldberg,Jonah Goldberg,ambiguous,False,,True,,,"4 distinct same-name donors, 0 media-flagged","4 same-name donors in DIME, none uniquely media-flagged"
GZERO World with Ian Bremmer,Ian Bremmer,low_no_disambiguation,False,,True,-0.808,5,president / eurasia group,
All In with Chris Hayes,Chris Hayes,ambiguous,False,,True,,,"78 distinct same-name donors, 2 media-flagged","78 same-name donors in DIME, none uniquely media-flagged"
The 11th Hour with Ali Velshi,Ali Velshi,no_match,False,,False,,,,
The Peter McCormack Show,Peter McCormack,ambiguous,False,,True,,,"11 distinct same-name donors, 0 media-flagged","11 same-name donors in DIME, none uniquely media-flagged"
The Beat with Ari Melber,Ari Melber,low_no_disambiguation,False,,True,-0.892,0,consultant / Westhill Partners,
The Lars Larson Show Pacific Northwest Podcast,Lars Larson,high,False,,True,1.425,6,talk show host,
The Ben Ferguson Podcast,Ben Ferguson,high,True,2.394,True,1.349,1,producer / chase creative,
Runaway Country with Alex Wagner,Alex Wagner,ambiguous,False,,True,,,"27 distinct same-name donors, 0 media-flagged","27 same-name donors in DIME, none uniquely media-flagged"
The Damage Report with John Iadarola,John Iadarola,ambiguous,False,,True,,,"4 distinct same-name donors, 0 media-flagged","4 same-name donors in DIME, none uniquely media-flagged"
The Graham Allen Show,Graham Allen,high,True,1.615,True,,,"24 distinct same-name donors, 2 media-flagged","24 same-name donors in DIME, none uniquely media-flagged"
The Al Franken Podcast,Al Franken,high,True,-1.114,True,,,"3 distinct same-name donors, 2 media-flagged","3 same-name donors in DIME, none uniquely media-flagged"
Useful Idiots with Katie Halper and Aaron Maté,Katie Halper,low_no_disambiguation,False,,True,-1.076,4,,
Useful Idiots with Katie Halper and Aaron Maté,Aaron Maté,low_no_disambiguation,False,,True,-0.939,6,,
