show,extracted_host,host_source,match_confidence,publisher,notes
Pod Save America,,PUBLISHER_ONLY,none,Pod Save America,publisher-only fields: Audioboom
The MeidasTouch Podcast,,PUBLISHER_ONLY,none,MeidasTouch Network,publisher-only fields: MeidasTouch Network
Bulwark Takes,,PUBLISHER_ONLY,none,The Bulwark,"publisher-only fields: Audioboom, The Bulwark"
The Bulwark Podcast,,PUBLISHER_ONLY,none,The Bulwark,publisher-only fields: The Bulwark
Letters from an American,Heather Cox Richardson,ITUNES_AUTHOR,high,Heather Cox Richardson,
Candace,Candace Owens,ITUNES_AUTHOR,high,Candace Owens,
The President's Daily Brief,,UNKNOWN,none,The First TV,
The New Yorker Radio Hour,,PUBLISHER_ONLY,none,WNYC Studios and The New Yorker,publisher-only fields: WNYC Studios
The NPR Politics Podcast,NPR Politics,PARSED_FROM_TITLE,low,NPR,
Real Baron Podcast,Baron Coleman,ITUNES_AUTHOR,high,Baron Coleman,
Verdict with Ted Cruz,Ted Cruz,PARSED_FROM_TITLE,medium,Premiere Networks,
Fast Politics with Molly Jong-Fast,Molly Jong-Fast,PARSED_FROM_TITLE,medium,iHeartPodcasts,
The Necessary Conversation,,UNKNOWN,none,The Necessary Conversation,
The Next Level,,PUBLISHER_ONLY,none,The Bulwark,publisher-only fields: The Bulwark
Radio Atlantic,,PUBLISHER_ONLY,none,The Atlantic,publisher-only fields: The Atlantic
The Political Scene | The New Yorker,,PUBLISHER_ONLY,none,The New Yorker,publisher-only fields: The New Yorker
Ruthless Podcast,Josh Holmes,ITUNES_AUTHOR,high,"Josh Holmes, Comfortably Smug, Michael Duncan and John Ashbrook",
Ruthless Podcast,Comfortably Smug,ITUNES_AUTHOR,high,"Josh Holmes, Comfortably Smug, Michael Duncan and John Ashbrook",
Ruthless Podcast,Michael Duncan,ITUNES_AUTHOR,high,"Josh Holmes, Comfortably Smug, Michael Duncan and John Ashbrook",
Ruthless Podcast,John Ashbrook,ITUNES_AUTHOR,high,"Josh Holmes, Comfortably Smug, Michael Duncan and John Ashbrook",
Runaway Country with Alex Wagner,Alex Wagner,PARSED_FROM_TITLE,medium,Runaway Country with Alex Wagner,
Raging Moderates with Scott Galloway and Jessica Tarlov,Scott Galloway,PARSED_FROM_TITLE,medium,Vox Media Podcast Network,
Raging Moderates with Scott Galloway and Jessica Tarlov,Jessica Tarlov,PARSED_FROM_TITLE,medium,Vox Media Podcast Network,
Breaking Points with Krystal and Saagar,Krystal,PARSED_FROM_TITLE,medium,iHeartPodcasts,
