chunk_id,politics,ideology,ternary
b1f897a12d83f44d_6,No,,
970d5e68084d4a9c_39,No,,
deaec08e79f1ee9b_40,Yes,strongly_liberal,-1
b1f897a12d83f44d_18,No,,
7f803de88cbe0649_64,Yes,moderately_liberal,-1
ef597bfab470ea31_17,Yes,moderate,0
b1f897a12d83f44d_21,Yes,moderate,0
970d5e68084d4a9c_27,Yes,slightly_liberal,-1
ef597bfab470ea31_19,Yes,slightly_liberal,-1
7f803de88cbe0649_31,Yes,moderately_conservative,1
970d5e68084d4a9c_7,No,,
deaec08e79f1ee9b_23,Yes,strongly_liberal,-1
ef597bfab470ea31_30,Yes,slightly_liberal,-1
7f803de88cbe0649_19,Yes,moderate,0
b1f897a12d83f44d_20,Yes,moderate,0
deaec08e79f1ee9b_25,Yes,strongly_liberal,-1
ef597bfab470ea31_2,Yes,moderate,0
7f803de88cbe0649_12,Yes,strongly_liberal,-1
970d5e68084d4a9c_19,Yes,slightly_liberal,-1
deaec08e79f1ee9b_28,Yes,strongly_liberal,-1
b1f897a12d83f44d_34,Yes,moderate,0
ef597bfab470ea31_7,Yes,moderate,0
7f803de88cbe0649_67,Yes,moderately_conservative,1
deaec08e79f1ee9b_15,Yes,strongly_liberal,-1
7f803de88cbe0649_68,No,,
970d5e68084d4a9c_29,Yes,strongly_liberal,-1
b1f897a12d83f44d_19,No,,
b1f897a12d83f44d_16,Yes,strongly_liberal,-1
b1f897a12d83f44d_14,No,,
ef597bfab470ea31_31,Yes,slightly_liberal,-1
deaec08e79f1ee9b_3,Yes,strongly_liberal,-1
970d5e68084d4a9c_13,Yes,strongly_liberal,-1
7f803de88cbe0649_9,Yes,moderate,0
ef597bfab470ea31_34,Yes,slightly_conservative,1
970d5e68084d4a9c_23,Yes,slightly_liberal,-1
deaec08e79f1ee9b_10,Yes,strongly_liberal,-1
b201a5a2f2828f3a_15,No,,
12f73aceb5c71b10_52,No,,
7f803de88cbe0649_63,Yes,slightly_liberal,-1
ef597bfab470ea31_28,Yes,moderately_conservative,1
3691a1c3243158c6_28,No,,
970d5e68084d4a9c_3,Yes,slightly_liberal,-1
deaec08e79f1ee9b_5,Yes,strongly_liberal,-1
7773b40aefac3468_14,No,,
3691a1c3243158c6_19,No,,
7773b40aefac3468_2,No,,
8382949c5698f7d2_23,Yes,slightly_liberal,-1
12f73aceb5c71b10_7,No,,
85f1984ba14016cf_36,Yes,moderate,0
12f73aceb5c71b10_19,Yes,strongly_liberal,-1
3691a1c3243158c6_10,No,,
b201a5a2f2828f3a_27,Yes,strongly_liberal,-1
8382949c5698f7d2_14,Yes,strongly_liberal,-1
85f1984ba14016cf_46,No,,
7773b40aefac3468_5,No,,
85f1984ba14016cf_3,Yes,moderate,0
8382949c5698f7d2_11,Yes,moderate,0
3691a1c3243158c6_1,No,,
b201a5a2f2828f3a_41,Yes,slightly_liberal,-1
b201a5a2f2828f3a_47,No,,
85f1984ba14016cf_42,No,,
12f73aceb5c71b10_25,No,,
3691a1c3243158c6_24,No,,
b201a5a2f2828f3a_40,Yes,moderately_liberal,-1
12f73aceb5c71b10_31,Yes,moderate,0
85f1984ba14016cf_64,No,,
8382949c5698f7d2_50,Yes,moderate,0
b201a5a2f2828f3a_1,No,,
7773b40aefac3468_10,No,,
12f73aceb5c71b10_56,No,,
7773b40aefac3468_15,Yes,moderate,0
3691a1c3243158c6_6,No,,
8382949c5698f7d2_61,Yes,moderate,0
85f1984ba14016cf_73,No,,
7773b40aefac3468_9,No,,
3691a1c3243158c6_11,No,,
b9e4358c4e6f23b2_16,No,,
8382949c5698f7d2_57,Yes,moderate,0
c85989c6fcda1063_54,No,,
b201a5a2f2828f3a_19,Yes,strongly_liberal,-1
12f73aceb5c71b10_71,Yes,moderate,0
8382949c5698f7d2_0,Yes,slightly_liberal,-1
306fbbbd3d7e019a_0,No,,
3a0384e1e466768c_9,Yes,moderate,0
b9e4358c4e6f23b2_2,No,,
070ab63fccd3eb07_20,Yes,slightly_liberal,-1
306fbbbd3d7e019a_14,Yes,moderate,0
070ab63fccd3eb07_2,Yes,moderate,0
b9e4358c4e6f23b2_0,Yes,moderate,0
c85989c6fcda1063_45,Yes,moderate,0
3a0384e1e466768c_8,Yes,slightly_liberal,-1
b9e4358c4e6f23b2_1,No,,
b9e4358c4e6f23b2_24,No,,
