chunk_id,is_political_YN,ideology_label
7f5fc173b1ceb676_41,Yes,strongly_liberal
ae808a42d8c63c5f_71,Yes,strongly_liberal
222e1471729ae2dd_11,No,
47541c4cffd85b84_15,Yes,strongly_liberal
47541c4cffd85b84_32,Yes,moderately_liberal
22da7d6496430201_5,No,
22da7d6496430201_40,Yes,slightly_liberal
7f5fc173b1ceb676_79,No,
5eea25f60b0fc686_30,Yes,slightly_liberal
473434a4cf1c2dff_26,Yes,moderate
5eea25f60b0fc686_9,Yes,slightly_liberal
ae808a42d8c63c5f_75,Yes,moderately_liberal
b16a521053b6c9f1_97,Yes,moderately_liberal
de4813f23b467a4b_34,Yes,strongly_conservative
47541c4cffd85b84_47,Yes,slightly_conservative
3a1b8c53c03a6cdb_50,Yes,moderate
222e1471729ae2dd_5,Yes,strongly_conservative
1d6c37f1286be21e_20,Yes,strongly_conservative
ae808a42d8c63c5f_40,Yes,moderate
343f81cba54ce1ee_16,No,
ce7d03010257886a_19,Yes,moderately_liberal
39ffcfc0810277c0_23,Yes,moderately_conservative
7c46d39917d952ba_6,Yes,strongly_conservative
3a1b8c53c03a6cdb_14,Yes,moderately_conservative
b79e9312cc8d9b9b_25,Yes,moderately_conservative
22da7d6496430201_81,Yes,strongly_conservative
ae808a42d8c63c5f_49,Yes,slightly_conservative
f73e9d6138b43814_28,Yes,moderately_conservative
19b89ecbc5cdf2f4_46,Yes,moderate
dafee9c66dc89a1f_33,No,
4d93007c93e70d68_41,Yes,slightly_conservative
f73e9d6138b43814_1,Yes,strongly_conservative
4d93007c93e70d68_11,Yes,slightly_conservative
8fb9278557cb0795_41,Yes,slightly_liberal
343f81cba54ce1ee_17,No,
622a19d8f579241f_53,Yes,moderately_conservative
