chunk_id,politics,ideology,ternary
7f5fc173b1ceb676_41,Yes,strongly_liberal,-1.0
ae808a42d8c63c5f_71,Yes,strongly_liberal,-1.0
222e1471729ae2dd_11,No,,
47541c4cffd85b84_15,Yes,strongly_liberal,-1.0
47541c4cffd85b84_32,Yes,slightly_liberal,-1.0
22da7d6496430201_5,No,,
22da7d6496430201_40,Yes,moderate,0.0
7f5fc173b1ceb676_79,No,,
5eea25f60b0fc686_30,Yes,slightly_liberal,-1.0
473434a4cf1c2dff_26,No,,
5eea25f60b0fc686_9,Yes,slightly_liberal,-1.0
ae808a42d8c63c5f_75,Yes,moderate,0.0
b16a521053b6c9f1_97,Yes,strongly_liberal,-1.0
de4813f23b467a4b_34,Yes,slightly_conservative,1.0
47541c4cffd85b84_47,Yes,moderate,0.0
3a1b8c53c03a6cdb_50,No,,
222e1471729ae2dd_5,Yes,moderate,0.0
1d6c37f1286be21e_20,Yes,strongly_liberal,-1.0
ae808a42d8c63c5f_40,Yes,moderate,0.0
343f81cba54ce1ee_16,No,,
ce7d03010257886a_19,No,,
39ffcfc0810277c0_23,Yes,slightly_liberal,-1.0
7c46d39917d952ba_6,Yes,moderate,0.0
3a1b8c53c03a6cdb_14,Yes,slightly_liberal,-1.0
b79e9312cc8d9b9b_25,Yes,strongly_conservative,1.0
22da7d6496430201_81,Yes,strongly_conservative,1.0
ae808a42d8c63c5f_49,Yes,moderate,0.0
f73e9d6138b43814_28,Yes,strongly_conservative,1.0
19b89ecbc5cdf2f4_46,Yes,slightly_liberal,-1.0
dafee9c66dc89a1f_33,No,,
4d93007c93e70d68_41,No,,
f73e9d6138b43814_1,Yes,moderately_conservative,1.0
4d93007c93e70d68_11,No,,
8fb9278557cb0795_41,Yes,slightly_liberal,-1.0
343f81cba54ce1ee_17,Yes,moderately_conservative,1.0
622a19d8f579241f_53,Yes,moderately_conservative,1.0
7c46d39917d952ba_115,Yes,moderately_conservative,1.0
7c46d39917d952ba_42,Yes,moderate,0.0
19b89ecbc5cdf2f4_7,Yes,slightly_liberal,-1.0
39ffcfc0810277c0_97,Yes,strongly_liberal,-1.0
b79e9312cc8d9b9b_3,Yes,moderate,0.0
0b62d126b11f4aba_2,Yes,moderately_conservative,1.0
ae808a42d8c63c5f_91,Yes,moderately_liberal,-1.0
e0a1fdc657804c4a_27,Yes,moderately_conservative,1.0
53d70757301d4a07_48,Yes,moderate,0.0
7c46d39917d952ba_83,Yes,moderately_conservative,1.0
53d70757301d4a07_4,No,,
7c46d39917d952ba_29,Yes,moderate,0.0
0f75747b6a6de6bb_23,Yes,strongly_conservative,1.0
7c46d39917d952ba_44,No,,
53d70757301d4a07_31,Yes,slightly_liberal,-1.0
39ffcfc0810277c0_91,Yes,moderate,0.0
7c46d39917d952ba_131,Yes,strongly_conservative,1.0
b16a521053b6c9f1_1,Yes,moderate,0.0
7c46d39917d952ba_135,Yes,strongly_conservative,1.0
