chunk_id,politics,ideology,ternary
22da7d6496430201_5,No,,
7f5fc173b1ceb676_79,No,,
4d93007c93e70d68_41,No,,
7f5fc173b1ceb676_41,Yes,strongly_liberal,-1
4d93007c93e70d68_11,Yes,moderate,0
22da7d6496430201_40,Yes,moderate,0
22da7d6496430201_81,Yes,strongly_conservative,1
7c46d39917d952ba_6,Yes,strongly_conservative,1
dafee9c66dc89a1f_33,No,,
b79e9312cc8d9b9b_25,Yes,strongly_conservative,1
39ffcfc0810277c0_23,Yes,moderate,0
8fb9278557cb0795_41,Yes,moderate,0
19b89ecbc5cdf2f4_46,Yes,moderate,0
ce7d03010257886a_19,No,,
f73e9d6138b43814_1,Yes,strongly_conservative,1
f73e9d6138b43814_28,Yes,strongly_conservative,1
473434a4cf1c2dff_26,Yes,moderate,0
de4813f23b467a4b_34,Yes,strongly_conservative,1
ae808a42d8c63c5f_40,Yes,moderate,0
ae808a42d8c63c5f_49,Yes,moderate,0
ae808a42d8c63c5f_71,Yes,strongly_liberal,-1
ae808a42d8c63c5f_75,Yes,slightly_liberal,-1
47541c4cffd85b84_32,Yes,moderately_liberal,-1
222e1471729ae2dd_11,No,,
47541c4cffd85b84_47,Yes,moderately_liberal,-1
b16a521053b6c9f1_97,Yes,strongly_liberal,-1
47541c4cffd85b84_15,Yes,strongly_liberal,-1
343f81cba54ce1ee_16,No,,
222e1471729ae2dd_5,Yes,moderate,0
1d6c37f1286be21e_20,Yes,moderately_conservative,1
343f81cba54ce1ee_17,Yes,strongly_conservative,1
622a19d8f579241f_53,Yes,strongly_conservative,1
5eea25f60b0fc686_9,Yes,moderate,0
3a1b8c53c03a6cdb_50,No,,
5eea25f60b0fc686_30,Yes,slightly_liberal,-1
3a1b8c53c03a6cdb_14,Yes,moderately_liberal,-1
