chunk_id,politics,ideology,ternary
0bae13563b5d6e0a_7,No,,
0bae13563b5d6e0a_16,No,,
173350f2f81fdc8a_72,No,,
5c63d839f141b4af_28,No,,
ab70319b6154aaf0_5,No,,
75759b2f7f8c187e_77,No,,
1fc38cbc57c9b138_20,No,,
75759b2f7f8c187e_24,Yes,moderate,0
173350f2f81fdc8a_37,Yes,moderate,0
a484cc630d279315_28,No,,
173350f2f81fdc8a_9,No,,
75759b2f7f8c187e_45,No,,
ab70319b6154aaf0_1,No,,
e024d64ce9a8200e_2,No,,
ab89958c4bd81826_13,Yes,strongly_liberal,-1
ab70319b6154aaf0_26,No,,
5c63d839f141b4af_37,No,,
ab70319b6154aaf0_14,No,,
a484cc630d279315_17,No,,
3d26a6931863482a_7,No,,
1fc38cbc57c9b138_2,No,,
75759b2f7f8c187e_62,No,,
ab89958c4bd81826_30,No,,
1fc38cbc57c9b138_15,No,,
55d002584b6db78c_41,No,,
55d002584b6db78c_16,No,,
75759b2f7f8c187e_28,Yes,strongly_liberal,-1
e024d64ce9a8200e_24,No,,
a484cc630d279315_19,No,,
ab70319b6154aaf0_21,No,,
1fc38cbc57c9b138_35,Yes,slightly_liberal,-1
173350f2f81fdc8a_50,Yes,slightly_liberal,-1
55d002584b6db78c_2,Yes,moderate,0
e024d64ce9a8200e_16,No,,
55d002584b6db78c_28,Yes,moderate,0
a484cc630d279315_31,No,,
0bae13563b5d6e0a_12,Yes,moderate,0
173350f2f81fdc8a_40,Yes,strongly_liberal,-1
a484cc630d279315_6,No,,
75759b2f7f8c187e_27,Yes,strongly_liberal,-1
a484cc630d279315_41,No,,
ab89958c4bd81826_32,No,,
55d002584b6db78c_18,Yes,moderate,0
75759b2f7f8c187e_44,Yes,moderate,0
1fc38cbc57c9b138_10,No,,
3d26a6931863482a_13,No,,
e024d64ce9a8200e_18,No,,
a484cc630d279315_18,No,,
173350f2f81fdc8a_16,Yes,moderate,0
75759b2f7f8c187e_64,No,,
75759b2f7f8c187e_30,Yes,slightly_liberal,-1
75759b2f7f8c187e_37,Yes,moderately_liberal,-1
173350f2f81fdc8a_68,No,,
173350f2f81fdc8a_8,Yes,moderately_liberal,-1
ab70319b6154aaf0_30,No,,
ab70319b6154aaf0_34,No,,
5c63d839f141b4af_1,No,,
5c63d839f141b4af_6,No,,
c09ee4afd2956118_21,Yes,moderate,0
c09ee4afd2956118_11,Yes,moderate,0
55d002584b6db78c_39,Yes,moderate,0
55d002584b6db78c_32,Yes,moderate,0
55d002584b6db78c_23,No,,
173350f2f81fdc8a_62,No,,
173350f2f81fdc8a_65,No,,
75759b2f7f8c187e_18,Yes,moderate,0
a484cc630d279315_39,No,,
a484cc630d279315_24,No,,
3d26a6931863482a_24,No,,
75759b2f7f8c187e_48,No,,
a484cc630d279315_20,No,,
5c63d839f141b4af_30,No,,
0bae13563b5d6e0a_5,No,,
55d002584b6db78c_22,No,,
1fc38cbc57c9b138_11,No,,
5c63d839f141b4af_2,No,,
c09ee4afd2956118_17,No,,
1fc38cbc57c9b138_16,Yes,moderate,0
ab70319b6154aaf0_4,No,,
ab70319b6154aaf0_17,No,,
173350f2f81fdc8a_2,Yes,moderate,0
1fc38cbc57c9b138_34,No,,
1fc38cbc57c9b138_28,No,,
a484cc630d279315_4,No,,
ab89958c4bd81826_28,Yes,moderate,0
a484cc630d279315_30,No,,
173350f2f81fdc8a_70,No,,
75759b2f7f8c187e_50,No,,
173350f2f81fdc8a_71,Yes,slightly_liberal,-1
55d002584b6db78c_30,Yes,moderate,0
0bae13563b5d6e0a_8,No,,
ab89958c4bd81826_5,Yes,strongly_liberal,-1
c09ee4afd2956118_28,Yes,moderate,0
0bae13563b5d6e0a_24,No,,
55d002584b6db78c_34,Yes,moderate,0
3d26a6931863482a_14,Yes,moderate,0
3d26a6931863482a_31,No,,
173350f2f81fdc8a_64,No,,
e024d64ce9a8200e_25,Yes,moderate,0
1fc38cbc57c9b138_30,Yes,strongly_liberal,-1
f434a1e9e0a18259_7,Yes,moderate,0
f434a1e9e0a18259_6,Yes,moderate,0
ff60387a22301d21_14,Yes,moderate,0
5517d37d9026dca5_22,Yes,moderate,0
68672020489a94d2_17,Yes,moderate,0
f434a1e9e0a18259_5,Yes,moderate,0
68672020489a94d2_1,No,,
085137073bd9b182_13,No,,
fbea8b4cd1e8d2f7_37,No,,
085137073bd9b182_10,Yes,moderate,0
7afd04cb48af4734_35,No,,
5517d37d9026dca5_32,Yes,moderate,0
13170f0e06640945_3,Yes,moderate,0
fbea8b4cd1e8d2f7_41,Yes,moderate,0
68672020489a94d2_4,Yes,slightly_liberal,-1
bf6eba0b9830c821_6,Yes,moderate,0
fbea8b4cd1e8d2f7_6,Yes,slightly_liberal,-1
0f329d076636049a_13,Yes,moderate,0
fbea8b4cd1e8d2f7_12,Yes,moderate,0
bf6eba0b9830c821_19,Yes,moderate,0
7afd04cb48af4734_13,Yes,slightly_liberal,-1
fbea8b4cd1e8d2f7_24,Yes,moderate,0
bfd93fa226ead3b5_7,Yes,moderate,0
085137073bd9b182_4,Yes,slightly_liberal,-1
7afd04cb48af4734_37,Yes,moderate,0
bf6eba0b9830c821_15,No,,
