source,n,ba_w,hs_or_less_w,rep_w,age65_w
Univision,313,0.15479842202670016,0.5762321892922303,0.3498199803690141,0.12760846644993248
Telemundo,329,0.1612740199393855,0.5703905158070101,0.3664357879205744,0.1273496198734812
The Joe Rogan Experience,999,0.2727829322154241,0.37713133872956767,0.8942072216990434,0.15317953166634984
Fox News,3489,0.2739463709637127,0.4254050774001902,0.7291695695309126,0.2814684947393186
Tucker Carlson Network,457,0.2770063442846752,0.3969361185443205,0.9336669800298601,0.2809724536118537
Newsmax,880,0.277425972334375,0.3732336422874591,0.9297679286612641,0.41706056223101523
CBS News,3029,0.3020272285713037,0.4013402133082344,0.350175063753615,0.33587954378195395
ABC News,3501,0.3105617921141146,0.39009530420265726,0.36173874287992036,0.30294147500291146
NBC News,3526,0.32147242504365875,0.3880577226439699,0.329190532997811,0.3220551983756436
Newsweek,748,0.32492035816495585,0.35474539587670384,0.36356778075411506,0.3043821502925783
Breitbart,386,0.34120569971185694,0.3368824226705816,0.9354248971916533,0.38479206819644063
USA Today,1325,0.34197700445243245,0.35974778241363514,0.366526939849849,0.2495189637595746
MSNBC,2281,0.3674473005383563,0.3297512290991033,0.2445618316273297,0.3082313174562247
The Daily Wire,595,0.3717267066845487,0.259773112151565,0.8834168948891337,0.13399855760557763
New York Post,859,0.3818195589427214,0.29157615473386583,0.5410749447353367,0.18273631570509896
CNN,3338,0.38510739454632514,0.32869827811523405,0.2809418918601675,0.2513900594873378
PBS,2264,0.41130385893204763,0.3006335545616627,0.2535593699014569,0.3285797526240969
Forbes,903,0.4171498402131971,0.28254417804838644,0.4754123572555799,0.1758760916511274
The Hill,547,0.45373269176034875,0.29317980737989663,0.43034820226924614,0.25177610805837564
HuffPost,575,0.46632356951769915,0.24980999878816545,0.20400465517108496,0.2583668947962082
The Washington Post,1316,0.47404348225448745,0.22235753312583287,0.29004908530084306,0.21483553800133492
BBC News,2312,0.4952973976775322,0.23078064360984574,0.2928462488232586,0.24562100488685734
The Associated Press,2394,0.5168001250395611,0.19892856096154504,0.25916802361356167,0.21356507245967715
Politico,918,0.5254553355540797,0.20261287895449642,0.23849004860743786,0.27229813012830545
The Wall Street Journal,1433,0.532523013321216,0.20756422796044088,0.4177971032296859,0.23832393528246942
The Guardian,934,0.5339391304168256,0.18274733928949002,0.21523792805127598,0.21753130276694252
The New York Times,2165,0.5650258839279855,0.18903661447732764,0.24008169350382302,0.18108436295333485
NPR,2500,0.5874934754711539,0.1368585927950212,0.21227377169656642,0.22627914639812416
Axios,419,0.5904118036960371,0.19467734325052705,0.210954342346216,0.255347074625647
The Atlantic,714,0.6247841937448385,0.1424291090868045,0.12476904738020328,0.2615094962152573
