show_id,show,hours_available,n_episodes,reason
1494037881,Checks and Balance from The Economist,3.39,4,< 25h in window
1599294971,Extremely American,4.54,7,< 25h in window
1696250206,HasanAbi,23.74,42,< 25h in window
1763234285,Autocracy in America,14.98,26,< 25h in window
1788738240,It’s That Part,12.11,25,< 25h in window
1801103648,The Nerd Reich,15.63,19,< 25h in window
1849994842,Deseret Voices,23.67,40,< 25h in window
1871531782,Uncertain with DL Hughley,19.48,26,< 25h in window
1871930209,Essential Minnesota,11.15,26,< 25h in window
1875402719,Make It Make Sense,23.96,42,< 25h in window
1884144340,Get Angry,11.0,17,< 25h in window
1889550138,The Loren Piretra Show,22.72,102,< 25h in window
1896897095,Wired In,18.81,17,< 25h in window
