show_id,show,publisher,hours,host
1551206847,#SistersInLaw,Politicon,25.22,"Joyce Vance, Jill Wine-Banks, Barb McQuade and Kimberly Atkins Stohr"
1798460240,10 Minute Drill,Matt Whitlock,25.11,Matt Whitlock
1490993194,Advisory Opinions,The Dispatch,25.11,Sara Isgur and David French
1314170606,All In with Chris Hayes,"MS NOW, Chris Hayes",25.03,Chris Hayes
1549624070,Amarica's Constitution,Akhil Reed Amar,25.47,Akhil Reed Amar and Andy Lipka
1576614213,American Conservative University,American Conservative University,25.19,
1574741668,American Prestige,Daniel Bessner & Derek Davison,25.42,Daniel Bessner and Derek Davison
1471411980,American Thought Leaders,The Epoch Times,25.09,Jan Jekielek
1634341981,Antiwar News With Dave DeCamp,Dave DeCamp,25.38,Dave DeCamp
1531192509,Bad Faith,Briahna Joy Gray,25.22,Briahna Joy Gray
1721813926,Bad Hasbara - The World's Most Moral Podcast,Matt Lieb,26.69,Matt Lieb and Daniel Maté
1485351658,Bannon`s War Room,WarRoom.org,25.49,Steve Bannon and Natalie Winters
1868807558,Batya!,Batya,25.31,Batya Ungar-Sargon
124960485,"Best of the Left - Leftist Perspectives on Progressive Politics, News, Culture, Economics and Democracy","Best of the Left: Perspectives on Politics, Culture, and Economics",25.58,Jay Tomlinson
1751785203,Brad vs Everyone,iHeartPodcasts,25.3,Brad Polumbo
1876034889,Breaking News from Pod Save America,Crooked Media,25.09,"Jon Favreau, Jon Lovett, Dan Pfeiffer, and Tommy Vietor"
1570045623,Breaking Points with Krystal and Saagar,iHeartPodcasts,25.26,Krystal Ball and Saagar Enjeti
219258773,Brian Kilmeade Show,FOX News Podcasts,25.19,Brian Kilmeade
1896576050,Brian Tyler Cohen,Brian Tyler Cohen Network,25.02,Brian Tyler Cohen
1794450472,Bulwark Takes,The Bulwark,25.68,"Tim Miller, Sarah Longwell, and Bill Kristol"
1750591415,Candace,Candace Owens,25.55,Candace Owens
1289062927,ChinaTalk,Jordan Schneider,26.14,Jordan Schneider
1549502623,Cleanup on Aisle 45 with AG & Harry Dunn,MSW Media,25.75,AG Dunn and Harry Dunn
925428680,Conversations with Bill Kristol,Bill Kristol,25.57,Bill Kristol
1633301179,Countdown with Keith Olbermann,iHeartPodcasts,25.06,Keith Olbermann
1636762428,Dad Saves America,John Papola,25.22,John Papola
1367201919,Deadline: White House,"Nicolle Wallace, MS NOW",25.32,Nicolle Wallace
1660317917,Defending Democracy with Marc Elias,Democracy Docket,25.08,Marc Elias and Paige Moskowitz
1800671132,Destiny,Destiny,26.14,Steven Bonnell II
78911087,Face the Nation with Margaret Brennan,CBS News,25.48,Margaret Brennan
1645614328,Fast Politics with Molly Jong-Fast,iHeartPodcasts,25.32,Molly Jong-Fast
983782306,Federalist Radio Hour,Radio America,25.24,Matt Kittle
1570432345,Firing Line with Margaret Hoover,Firing Line With Margaret Hoover,25.0,Margaret Hoover
1072469956,Fox Across America w/ Jimmy Failla,FOX News Podcasts,25.16,Jimmy Failla
1822142909,Glenn Diesen - Greater Eurasia Podcast,Glenn Diesen,25.68,Glemm Diesen
1805186512,Going Rogue with Lara Logan,Lara Logan,25.08,Lara Logan and Luke Coffee
1294461271,GZERO World with Ian Bremmer,GZERO Media,25.31,Ian Bremmer
1467297559,Hacks On Tap,Vox Media,25.74,"David Axelrod, Mike Murphy, and John Heilemann"
1725442221,Hawk Podcasts,Hawk,25.42,Matthew Hawk
1579061364,Head in the Office,HITO Media LLC,25.3,Jeremy Johnson
1493858530,Hood Politics with Prop,Cool Zone Media and iHeartPodcasts,25.74,Jason Petty
1874174561,Hope For America with Heather Delaney Reese,Heather Delaney Reese,25.25,Heather Delaney Reese
1585243541,Human Events Daily with Jack Posobiec,Human Events with Jack Posobiec,25.12,Jack Posobiec
1449848509,I Don't Speak German,IDSG,26.68,Daniel Harper and Jack Graham
1529346075,Impolitic with John Heilemann,Audacy | Puck,25.87,John Heilemann
1788891712,It's A Numbers Game with Ryan Girdusky,iHeartPodcasts,25.22,Ryan Girdusky
791564318,Jacobin Radio,Jacobin,26.55,"Suzi Weissman, Alan Minsky, and Meleiza Figueroa"
1495251160,John Solomon Reports,John Solomon,25.73,John Solomon
1462703434,Know Your Enemy,Matthew Sitman,25.74,Matthew Sitman and Sam Adler-Bell
73329719,KQED's Forum,KQED,25.89,Mina Kim and Alexis Madrigal
506779862,Lectures in History,C-SPAN,25.36,
1730358737,Letters from an American,Heather Cox Richardson,25.15,Heather Cox Richardson
