show_id,show,publisher,hours,host,n_hosts,n_hosts_scored,coverage,avg_host_cfscore,host_cfscore_detail
1551206847,#SistersInLaw,Politicon,25.22,"Joyce Vance, Jill Wine-Banks, Barb McQuade and Kimberly Atkins Stohr",4.0,3.0,partial,0.0056666666666666,Joyce Vance=1.543; Jill Wine-Banks=-0.582; Barb McQuade=-0.944; Kimberly Atkins Stohr=NA
1798460240,10 Minute Drill,Matt Whitlock,25.11,Matt Whitlock,1.0,1.0,full,-1.156,Matt Whitlock=-1.156
1490993194,Advisory Opinions,The Dispatch,25.11,Sara Isgur and David French,2.0,1.0,partial,1.0775,Sara Isgur=1.077; David French=NA
1314170606,All In with Chris Hayes,"MS NOW, Chris Hayes",25.03,Chris Hayes,1.0,0.0,none,,Chris Hayes=NA
1549624070,Amarica's Constitution,Akhil Reed Amar,25.47,Akhil Reed Amar and Andy Lipka,2.0,1.0,partial,-0.686,Akhil Reed Amar=-0.686; Andy Lipka=NA
1576614213,American Conservative University,American Conservative University,25.19,,0.0,0.0,no_host_listed,,
1574741668,American Prestige,Daniel Bessner & Derek Davison,25.42,Daniel Bessner and Derek Davison,2.0,1.0,partial,-1.159,Daniel Bessner=-1.159; Derek Davison=NA
1471411980,American Thought Leaders,The Epoch Times,25.09,Jan Jekielek,1.0,0.0,none,,Jan Jekielek=NA
1634341981,Antiwar News With Dave DeCamp,Dave DeCamp,25.38,Dave DeCamp,1.0,1.0,full,-0.616,Dave DeCamp=-0.616
1531192509,Bad Faith,Briahna Joy Gray,25.22,Briahna Joy Gray,1.0,0.0,none,,Briahna Joy Gray=NA
1721813926,Bad Hasbara - The World's Most Moral Podcast,Matt Lieb,26.69,Matt Lieb and Daniel Maté,2.0,1.0,partial,-1.147,Matt Lieb=-1.147; Daniel Maté=NA
1485351658,Bannon`s War Room,WarRoom.org,25.49,Steve Bannon and Natalie Winters,2.0,1.0,partial,0.348,Steve Bannon=0.348; Natalie Winters=NA
1868807558,Batya!,Batya,25.31,Batya Ungar-Sargon,1.0,0.0,none,,Batya Ungar-Sargon=NA
124960485,"Best of the Left - Leftist Perspectives on Progressive Politics, News, Culture, Economics and Democracy","Best of the Left: Perspectives on Politics, Culture, and Economics",25.58,Jay Tomlinson,1.0,1.0,full,-1.331,Jay Tomlinson=-1.331
1751785203,Brad vs Everyone,iHeartPodcasts,25.3,Brad Polumbo,1.0,1.0,full,-0.688,Brad Polumbo=-0.688
1876034889,Breaking News from Pod Save America,Crooked Media,25.09,"Jon Favreau, Jon Lovett, Dan Pfeiffer, and Tommy Vietor",4.0,4.0,full,-0.975875,Jon Favreau=-0.898; Jon Lovett=-1.032; Dan Pfeiffer=-1.085; Tommy Vietor=-0.889
1570045623,Breaking Points with Krystal and Saagar,iHeartPodcasts,25.26,Krystal Ball and Saagar Enjeti,2.0,1.0,partial,-0.9107,Krystal Ball=-0.911; Saagar Enjeti=NA
219258773,Brian Kilmeade Show,FOX News Podcasts,25.19,Brian Kilmeade,1.0,1.0,full,1.659,Brian Kilmeade=1.659
1896576050,Brian Tyler Cohen,Brian Tyler Cohen Network,25.02,Brian Tyler Cohen,1.0,1.0,full,-1.072,Brian Tyler Cohen=-1.072
1794450472,Bulwark Takes,The Bulwark,25.68,"Tim Miller, Sarah Longwell, and Bill Kristol",3.0,2.0,partial,-0.16375,Tim Miller=-0.990; Sarah Longwell=0.662; Bill Kristol=NA
1750591415,Candace,Candace Owens,25.55,Candace Owens,1.0,0.0,none,,Candace Owens=NA
1289062927,ChinaTalk,Jordan Schneider,26.14,Jordan Schneider,1.0,0.0,none,,Jordan Schneider=NA
1549502623,Cleanup on Aisle 45 with AG & Harry Dunn,MSW Media,25.75,AG Dunn and Harry Dunn,2.0,0.0,none,,AG Dunn=NA; Harry Dunn=NA
925428680,Conversations with Bill Kristol,Bill Kristol,25.57,Bill Kristol,1.0,0.0,none,,Bill Kristol=NA
1633301179,Countdown with Keith Olbermann,iHeartPodcasts,25.06,Keith Olbermann,1.0,1.0,full,-1.014,Keith Olbermann=-1.014
1636762428,Dad Saves America,John Papola,25.22,John Papola,1.0,1.0,full,1.2865,John Papola=1.286
1367201919,Deadline: White House,"Nicolle Wallace, MS NOW",25.32,Nicolle Wallace,1.0,0.0,none,,Nicolle Wallace=NA
1660317917,Defending Democracy with Marc Elias,Democracy Docket,25.08,Marc Elias and Paige Moskowitz,2.0,1.0,partial,-0.926,Marc Elias=NA; Paige Moskowitz=-0.926
1800671132,Destiny,Destiny,26.14,Steven Bonnell II,1.0,0.0,none,,Steven Bonnell II=NA
78911087,Face the Nation with Margaret Brennan,CBS News,25.48,Margaret Brennan,1.0,0.0,none,,Margaret Brennan=NA
1645614328,Fast Politics with Molly Jong-Fast,iHeartPodcasts,25.32,Molly Jong-Fast,1.0,0.0,none,,Molly Jong-Fast=NA
983782306,Federalist Radio Hour,Radio America,25.24,Matt Kittle,1.0,0.0,none,,Matt Kittle=NA
1570432345,Firing Line with Margaret Hoover,Firing Line With Margaret Hoover,25.0,Margaret Hoover,1.0,1.0,full,0.595,Margaret Hoover=0.595
1072469956,Fox Across America w/ Jimmy Failla,FOX News Podcasts,25.16,Jimmy Failla,1.0,1.0,full,1.057,Jimmy Failla=1.057
1822142909,Glenn Diesen - Greater Eurasia Podcast,Glenn Diesen,25.68,Glemm Diesen,1.0,0.0,none,,Glemm Diesen=NA
1805186512,Going Rogue with Lara Logan,Lara Logan,25.08,Lara Logan and Luke Coffee,2.0,1.0,partial,1.659,Lara Logan=1.659; Luke Coffee=NA
1294461271,GZERO World with Ian Bremmer,GZERO Media,25.31,Ian Bremmer,1.0,1.0,full,-0.808,Ian Bremmer=-0.808
1467297559,Hacks On Tap,Vox Media,25.74,"David Axelrod, Mike Murphy, and John Heilemann",3.0,3.0,full,-0.425,David Axelrod=-1.000; Mike Murphy=0.597; John Heilemann=-0.872
1725442221,Hawk Podcasts,Hawk,25.42,Matthew Hawk,1.0,1.0,full,-1.032,Matthew Hawk=-1.032
