y,feat,b,p2,pw,df,G,N
cyn8,dir_z,0.10624679466457576,0.15211716677949289,0.088,6.828313637012728,64,1275
cyn8,imper_syn,0.07639216756738787,0.32239142030542006,0.374,8.975778762418484,64,1275
cyn8,imper_rx,0.09530810332948796,0.2575696257979991,0.288,11.905747482018265,64,1275
cyn8,you_rx,0.06575696413305972,0.46093183315247044,0.492,11.191402463575095,64,1275
cyn8,you_deontic_rate,0.1270907969413116,0.1942527650984507,0.306,6.932246829865862,53,507
cyn8,you_know_rate,0.013342271072779232,0.8516653230741434,0.837,7.7967644344523315,53,507
cyn8,imp_attention_rate,0.13152363850999024,0.0649603462244617,0.067,11.963180701790527,53,507
cyn8,imp_action_rate,0.12625718513439407,0.07195290345096511,0.12,9.133465741260013,53,507
cyn8,imp_epistemic_rate,0.19637083490532792,0.08778495674959486,0.047,2.5874176772764974,53,507
cyn8,populist_rate,0.2501636960178575,0.07286188183144963,0.152,2.582503682364871,64,1275
cyn8,elite_rate,0.2428274877205593,0.14208085190238784,0.199,1.8035541073493657,64,1275
cyn8,people_rate,0.22772693900645355,0.041059535292937446,0.061,5.580869033327619,64,1275
cyn8,mediacrit_rate,0.20450132225705006,0.012071047488813864,0.018,9.111540973675453,64,1275
cyn8,antimedia_rate,0.04753490690519666,0.49244531153279486,0.39,3.0005157863936014,64,1275
cyn8,rp_rate,0.19465720670014175,0.0010405770249044266,0.003,9.435932678483512,64,1275
cyn8,game_rate,0.09721774021259641,0.21987883076715073,0.211,7.421231997605983,64,1275
cyn8,horse_rate,0.08682000333199444,0.26502687041027867,0.279,8.145317163989803,64,1275
cyn8,strat_rate,0.1118267002626429,0.18750384086063882,0.205,8.3401667447433,64,1275
cyn8,D4_biber,-0.01264846522804778,0.8778393197810298,0.858,5.439461751765593,49,500
cyn8,share_political,0.16561943547268815,0.0388705961636028,0.081,9.925474854441328,63,1248
cyn8,ep_len,-0.02972841932131999,0.7299932709425544,0.79,6.301592328382374,53,507
cyn8,inten,0.2009305574880499,0.002323094876573372,0.003,5.397910605992055,53,507
cyn8,avg_host_cfscore,-0.055195155402817705,0.6225106579231537,0.57,7.8629444321918,34,368
cyn8,right,-0.07818760534578813,0.622199499149831,0.694,6.5426964579100675,64,1275
cyn8,multi,-0.0013659729440380092,0.9805867956498969,0.985,9.9741156851671,64,1275
cyn8,interview,-0.03861566890941625,0.2651065566985141,0.217,4.45491706832277,64,1275
q33e_rev,dir_z,0.05451283045358064,0.38120716223916484,0.244,6.830314647262518,64,1275
q33e_rev,imper_syn,0.04240074098936762,0.5055404135217304,0.536,8.974237097250121,64,1275
q33e_rev,imper_rx,0.04843562888962434,0.4998756762900349,0.501,11.903906931226997,64,1275
q33e_rev,you_rx,0.01743546263356709,0.8162478504919569,0.785,11.190301569152604,64,1275
q33e_rev,you_deontic_rate,0.06343079740816972,0.454249393031916,0.435,6.932246829865862,53,507
q33e_rev,you_know_rate,-0.02423193498179534,0.7505536497731394,0.765,7.7967644344523315,53,507
q33e_rev,imp_attention_rate,0.13761034671807523,0.017491129176141314,0.031,11.963180701790527,53,507
q33e_rev,imp_action_rate,0.13404524182603997,0.010993218615251455,0.024,9.133465741260013,53,507
q33e_rev,imp_epistemic_rate,0.1408436365076352,0.07651336007187301,0.056,2.5874176772764974,53,507
q33e_rev,populist_rate,0.23448022268125893,0.06625522765361058,0.077,2.585040304324597,64,1275
q33e_rev,elite_rate,0.2197884026903545,0.1522902984236298,0.211,1.8055751843328856,64,1275
q33e_rev,people_rate,0.21967683593440707,0.014407330233524288,0.011,5.584165811380442,64,1275
q33e_rev,mediacrit_rate,0.18413211513585528,0.005530390891888628,0.007,9.11295254345624,64,1275
q33e_rev,antimedia_rate,0.08344103296417205,0.3794863305863103,0.229,3.0016859092599613,64,1275
q33e_rev,rp_rate,0.17905774837266505,0.0003227951505227588,0.0,9.437545193583144,64,1275
q33e_rev,game_rate,0.06769091727182544,0.27796250606284173,0.242,7.413806246649839,64,1275
q33e_rev,horse_rate,0.07363959328281619,0.2621619048291497,0.203,8.136504884502772,64,1275
q33e_rev,strat_rate,0.04597642412987807,0.49223971678635187,0.447,8.342101653664495,64,1275
q33e_rev,D4_biber,-0.03824638461853783,0.4802186261513987,0.375,5.439461751765593,49,500
q33e_rev,share_political,0.12610075927133466,0.043309334527790476,0.058,9.926144678861199,63,1248
q33e_rev,ep_len,-0.02371283766583264,0.7132090976692778,0.71,6.301592328382374,53,507
q33e_rev,inten,0.19349140392260125,0.0374953991302985,0.013,5.397910605992055,53,507
q33e_rev,avg_host_cfscore,-0.0740657179697453,0.581299254401609,0.534,7.8629444321918,34,368
q33e_rev,right,0.16778437383106826,0.04432861185526133,0.061,6.587865045041058,64,1275
q33e_rev,multi,-0.03627111142686718,0.45484842591701125,0.401,9.960884414380441,64,1275
q33e_rev,interview,-0.03924214324129944,0.214815054875189,0.161,4.441039171943867,64,1275
excl,dir_z,0.06009981879738913,0.07659757381226873,0.001,6.879562231084222,64,1283
excl,imper_syn,0.022707618272605062,0.3774078222860926,0.39,8.98141803972463,64,1283
excl,imper_rx,0.04046572360635321,0.11575979631293107,0.104,11.925477051727261,64,1283
excl,you_rx,0.016345149892041694,0.5852740492950255,0.622,11.191795274191684,64,1283
excl,you_deontic_rate,0.12285327625998164,0.030639186991954948,0.021,6.924158821425925,53,508
excl,you_know_rate,0.012446216681777828,0.8155484288695417,0.808,7.815541370298832,53,508
excl,imp_attention_rate,0.107599820702865,0.02968773938644059,0.014,11.93806904061014,53,508
excl,imp_action_rate,0.033137734037967936,0.5028057891674454,0.517,9.100540749555593,53,508
excl,imp_epistemic_rate,0.09348349238731883,0.27060195617215776,0.064,2.5881328394198237,53,508
excl,populist_rate,0.08676525294911402,0.14646434775144446,0.126,2.593027223801653,64,1283
excl,elite_rate,0.07420406208804435,0.2590253306244595,0.175,1.8071447570616614,64,1283
excl,people_rate,0.086931575336289,0.044931310654053605,0.011,5.610039344510538,64,1283
excl,mediacrit_rate,0.09604264389488122,0.013498602980049592,0.001,9.122277127141954,64,1283
excl,antimedia_rate,0.010820801729546267,0.4228682354475326,0.318,3.014628912355179,64,1283
excl,rp_rate,0.07194741845953628,0.029171134754403624,0.001,9.445874143544206,64,1283
excl,game_rate,0.006567799161014727,0.8274682600727005,0.807,7.449636236175856,64,1283
excl,horse_rate,-0.008440649418472055,0.7469674040135337,0.743,8.17938489273037,64,1283
excl,strat_rate,0.04207382768744627,0.40542513570552013,0.555,8.37357459389787,64,1283
excl,D4_biber,0.05975871647862683,0.4052100920991397,0.732,5.319074586416582,49,501
