corpus,topic,ridge_coef,abs_coef,direction,flagged_as,top_words
preview,10,0.12800766009876186,0.12800766009876186,conservative(+),,god church christian jesus pope catholic faith religious bible christ
preview,28,0.11122058361014477,0.11122058361014477,conservative(+),ad,money com gold free slash business use company crypto today
preview,22,-0.10933768404362904,0.10933768404362904,liberal(-),,book world idea read history life sense different human ways
preview,21,-0.09657666925218716,0.09657666925218716,liberal(-),,different question we've important trying what's able doesn't work sure
preview,0,-0.08953896263385548,0.08953896263385548,liberal(-),,media news musk elon social story times post tucker fox
preview,26,-0.07235573781261397,0.07235573781261397,liberal(-),,de la delta el en power com duracell seafoam puerto
preview,18,0.06941616587704164,0.06941616587704164,conservative(+),,city police mayor york seattle state county council gun local
preview,24,0.050367041093646835,0.050367041093646835,conservative(+),,school black white students education college schools university american history
preview,9,-0.04830521342583084,0.04830521342583084,liberal(-),,world united war states government country america power british countries
preview,16,0.04793876997295881,0.04793876997295881,conservative(+),,economy tariffs prices market economic trade inflation oil price american
preview,25,-0.04171544917800979,0.04171544917800979,liberal(-),,epstein fbi files department justice information attorney investigation evidence case
preview,20,-0.037318037272534244,0.037318037272534244,liberal(-),,president donald house white trump's biden administration today american office
preview,29,0.03537135187999942,0.03537135187999942,conservative(+),,doesn't bad let's yes man i've fucking let says trying
preview,27,0.0277829878822656,0.0277829878822656,conservative(+),,iran war military nuclear iranian regime states united deal oil
preview,6,0.027777891353082895,0.027777891353082895,conservative(+),,women men children kids young woman child sex parents life
preview,3,-0.02418005977828487,0.02418005977828487,liberal(-),,court case law supreme judge justice federal legal congress president
preview,1,-0.022880947654203274,0.022880947654203274,liberal(-),,npr sports game news tonight team podcast air fire world
preview,19,0.02200007579473369,0.02200007579473369,conservative(+),,health medical vaccine covid cancer vaccines doctor dr com rfk
preview,17,-0.02038389180743476,0.02038389180743476,liberal(-),,money government tax care million dollars pay federal billion health
preview,23,0.01836007052821683,0.01836007052821683,conservative(+),,podcast thank com week today great thanks news we'll episode
preview,8,0.015330801207953014,0.015330801207953014,conservative(+),,ice immigration country border law illegal administration enforcement federal agents
preview,5,-0.011483071174543237,0.011483071174543237,liberal(-),,country america american political democracy left power charlie believe violence
preview,13,-0.01073566467234835,0.01073566467234835,liberal(-),,democrats republicans senate house republican bill congress senator vote party
preview,2,0.007570383391766777,0.007570383391766777,conservative(+),,ai energy companies data technology climate power industry company space
preview,4,-0.006513474720664755,0.006513474720664755,liberal(-),,israel gaza israeli hamas netanyahu jewish war palestinian palestinians jews
preview,11,0.006026016411684286,0.006026016411684286,conservative(+),,election state vote states democrats voting elections republicans voters california
preview,15,-0.005951148954446775,0.005951148954446775,liberal(-),,party democrats harris democratic kamala campaign voters biden she's politics
preview,12,0.005106675076359542,0.005106675076359542,conservative(+),ad,com code slash sleep quince summer free body use chicken
preview,7,0.0016217510024374993,0.0016217510024374993,conservative(+),,ukraine russia china war states united putin russian chinese europe
preview,14,-0.0008221036543451798,0.0008221036543451798,liberal(-),,great i've love went story family life tell thought came
