topic,level,more,less,max_kappa,n_nonzero
1,Liberal,toppings denali robber unfuck fez flavored isle vogt gut-wrenching mellon panda deities yiannopoulos rockefellers grossman,change question general tend sorry episode challenge better fair threat special factor likely means agree,8.78447052110679,1232
1,Conservative,dunning-kruger automaker corporatists sans sesame limestone industrialist aye alienates albrecht non-defense eco-friendly scurrying cabinets bothersome,friday certainly terms language important came a- a-hole a-list a-plus a-team a's aa aaa aaron,8.88146159093784,896
2,Liberal,lufthansa celsius sai middletown thermal geoengineering climates moisture piston geothermal humidity stoves automaker sulfur airtight,friend mark control month john live asked heard watch podcast job somebody hell truth we've,9.08390658692439,978
2,Conservative,ferrari hybrids molten iodine tractor porsche invigorate turbine penguin interchangeably pipeyard breyers tractors charger synergenics,terms certainly course significant issue sunday second sense specifically happening particularly different bit question clearly,8.92349879574841,809
3,Liberal,bicentennial commemorates cabell sinning detested voltaire suffrage landless straussian klan ku american-ness ulster venerate lepore,interesting apparently situation potentially nice tuesday base shows yes you've brian broader heard far sign,8.59144154108394,1431
3,Conservative,barbary worcester adventurers duel whigs masada stoics regent anthropologists louisa asa isle antebellum jay's horace,change fix provide fine dan friends understand month supposed michael red let stop crisis sunday,8.27333502877875,2041
4,Liberal,jair vivendi rule-based erdogan's eu's erdogan fertility indians ankara cyprus bruno mumbai monocle frictions guterres,quote sunday calling here's month friday incredible hell wednesday stop told says wait love times,7.85580133895576,2030
4,Conservative,piston ottawa avocados soybeans ndp canadian trudeau carney sheinbaum asma refunds irwin ontario dalai trudeau's,population project known able political michael support inside dan year find west civil active trust,8.43390432441657,779
5,Liberal,joyce's geofencing webster's unbounded grammatical scurrying doormat lippman iepa aarp joyce engelmeyer webster sistersinlawatpoliticon bryson,washington model domestic age fun list friendly town york hot sarah internal force fix america's,7.35951010009872,1947
5,Conservative,prongs calabrese co-editor non-lawyer latt djibouti amendment's rahimi masha nadine sai respondent reindeer ao chenoweth,hours announced watch everybody night threats anybody walked horrible happening evening brian morning left support,7.84319429048885,2638
6,Liberal,moldovan transnistria zebra pro-european horry romania's dunked personas tbilisi pas romanian consigliere frances pinochet gossiping,supposed makes terrible world went i've private cause truth complicated fascinating ran born guess believe,8.13256691905005,1284
6,Conservative,tabulation smartmatic polanski havel occupier scholz krebs skullduggery galston linker belarusians brexit kieran belarusian dreher,week month reason morning everybody activity news knew weekend number event tuesday bit focus somebody,8.67391158808066,764
7,Liberal,unchanging spinoza contemplative proletarian stoics negation dialectics intuitions engels marx's proletariat hegel multiverse engels' egoic,who's public yes issues bad policy leadership supposed worse effort sorry shut issue wrong guess,8.7533344509066,2593
7,Conservative,pragmatism mccloskey postmodernist dreher watchman scientism intimations inferiority hayekian rationalism postmodern holly's adaptive wellbeing chesterton,night according planned daily shows finally we'll thousands confirmed incredible mark red died later covering,7.47616101420235,2223
8,Liberal,propositional rededicate adulterers talia hangups quran millenarian watchman titty toleration proselytize lutheran mitochondria homophobe natures,thanks process number willing year center special effort examples michael week day hours remember work,9.22214673657214,1324
8,Conservative,evangelism venerate galatians epistle woo-woo baptism sola nectar nourished rosary blossoming lighthouse ambrose catechumens catechetical,political they've group smart terms mr wing project politics social fight interesting zero versus factor,7.73713668363616,3248
9,Liberal,eco-friendly iqs anti-blackness dyslexia woodstock panthers hamer smokers robeson buc-ee's mattresses quince desiree bothersome africans,i'll interesting bit thanks knows center control number terms job a- a-hole a-list a-plus a-team,8.96944903640974,543
9,Conservative,rum kirkland tote peppers glock moist grapes domino's adderall commissary floral onions toothbrushes cbd thanksgiving,questions important moment question we've able level david happening night work heard american context support,8.48463242996182,783
10,Liberal,biotechnology alibaba netscape cogs zitron mastercard sustainably centralize therapeutics shani tsmc poached booz e-commerce microchips,members watching morning washington americans friday cause wants announced position hours watch quote communities including,8.22518167031552,2007
10,Conservative,vpns vanta redmond sheffield crowdstrike edelman leah's kc chrome mehta frazier gans legions vpn gating,west apparently wasn't evil month couldn't decades here's heard western wrong nice believe local america's,8.00861571294279,1464
11,Liberal,garvey electoralism comintern unionist sukarno sumatra homogeneity anti-colonial jolie java indonesian ortega snobbery clover bali,according better steve believe hear great high wrong wait you'll job ago you've yes sure,8.32750758591472,2685
11,Conservative,arne classroom teachers' campus students accreditation nea voucher retaken faculty professors claudine teacher's pell berkeley,massive sent died stop amazing complicated incredible podcast real months second crisis killed potential later,8.15428066457804,1307
12,Liberal,bakr puntland yemen's ansar yemeni wafa africom mogadishu mq- ditz rami sharm mullah dyer wahhabism,question problem america bad terrible particularly here's example important elected everybody amazing view perspective incredible,8.25358661113087,2150
12,Conservative,bibi's mortars beepers yitzhak demobilized likud khartoum yair libertarianinstitute arab-israeli rodents emirates ruble moist galilee,language record believe human st hour gets local wife allowed usually names night came typically,8.454395208862,1339
13,Liberal,inventor artisans piston medicinal squirt know-it-all soles firearm factory sewing factories appreciable marveling folsom denim,watch went a- a-hole a-list a-plus a-team a's aa aaa aaron aaron's aarp ab aba,8.98460393986166,475
13,Conservative,decriminalization reindeer finland iso weed sweden rapporteur privacy arbitration legalization prisons finland's chica hamburg libertarians,apparently announced story number shows according times numbers likely fact happening course remember called question,8.15635496488868,489
14,Liberal,obama-biden beautifying troth macros desecrating deface squeaking cutters antoinette filipkowski panikins heaps postmodernist bile naftali,political leadership politics group useful public potential west communities threat months harder enormous language context,7.5692491500075,1553
14,Conservative,chickening delaney-reese heather delaney tko misstated commemorates kaufman chipper urea barges medalist untraceable murphy's pooling,let's somebody bit yes problem example absolutely i'll believe i've elected officials reason sorry thanks,8.43777317624309,1236
15,Liberal,hazoni samira ethno-nationalism inshallah daniel's islamophobic fuentes' humanistic anti-muslim pro-palestinian ziegler pro-palestine etiquette haifa receptors,high morning political changes small help work places members extent later independent early officials chief,8.98653676515324,1025
15,Conservative,peasantry moshe peruvian rabbinical observant gentiles non-jew gentile talmudic ami latter-day bagels halakha shiva jehovah's,bit yes they've saw went bad announced we've remember let's wants they'll happening here's takes,9.10998756381104,1835
16,Liberal,cognizable respondent amici pammy sassoon lamberth erez msw brownie sinise pendency corcoran amicus bauer curiae,community street people's project domestic terrible story felt moment huge seeing signal capital power happening,7.77451084068939,2983
16,Conservative,boies soros-backed retry bothersome enhancements hirono fingerprinted graff commissioner's autopsies creighton natures terrence lizzie polygraph,weekend policies love policy area support dan sunday address washington western brian episode word friend,8.01655821882066,1467
17,Liberal,hamby molten repented peripherally mid-sized gorka malaise pda anti-incumbency anthropologists trunks ortiz mondale searchlight orienting,episode members east western currently thursday century text wrote comments joining consideration funny weekend history,7.00462455169145,1780
17,Conservative,undercounted kornacki afton yvonne dislodged tully halperin spanish-speaking johnstown landrieu mendoza baldwin teixeira shapeshifter inclusiveness,quote words steve planet crisis killing attack brian conclusion sends language lie defend allow use,7.58554862800057,1873
18,Liberal,majeure lloyd's emirate seafarers yanis kuwaitis gcc shippers transacting toothbrushes lydia hydrocarbons sal seaborne ache,words process incredible agree says article here's millions truly certainly david attack let watch love,8.57059862562053,998
18,Conservative,wahhabism ammonia lead-off aziz donro cuba's democratic-controlled lufthansa irgc's trump-iran turbine reshoring inconclusive accorded mid-sized,worked policy somebody population came example terrible ridiculous specific fact place political found public reason,8.60814263222263,933
