topic,coherence,exclusivity,prop,top_words,frex_words,register,estimate,se,t,p,ci_low,ci_high,est_show,se_show,p_show
1,-94.9607774006452,9.92629293883736,0.00757963957923206,musk elon government doge tesla usaid twitter musk's billionaires social billionaire cut,musk elon musk's doge tesla usaid elon's vivek richest spacex efficiency oligarchs,FALSE,-0.0014246185389291,0.000335130018325791,-4.25094280138219,2.13380751341184e-05,-0.00208147337484765,-0.000767763703010553,-0.00156408861682609,0.000567161218406126,0.0063538275748897
2,-129.478355391587,9.90618005216997,0.00843214229429271,water car cars air electric pipe plant heat use truck steel buy,pipe cars steel truck plant car hydrogen electric heat water trucks conditioning,FALSE,0.0025701596721894,0.000346579693070726,7.41578264270927,1.23428604977057e-13,0.00189086347377077,0.00324945587060802,0.00241165908251678,0.000906776471455136,0.00845116367761527
3,-67.4548233071253,9.65720436729539,0.0106771321902433,american history th america king constitution states nation washington war americans great,jefferson founding slaves hamilton declaration slavery colonies founders franklin lincoln enslaved slave,FALSE,0.00195254550903891,0.000458693326679876,4.25675586599845,2.07912407460743e-05,0.00105350658874635,0.00285158442933146,0.00181964810659203,0.00139804838621618,0.194548234727298
4,-76.9615050239587,9.94085740549781,0.0146241596042686,states united countries europe european world foreign international policy india security trade,india europe eu european countries brazil europeans relations pakistan international united cooperation,FALSE,-0.00422438889088268,0.000406200426497837,-10.3997647843562,2.68802766051713e-25,-0.00502054172681844,-0.00342823605494692,-0.00475872994254824,0.00208826575748421,0.0237248855825884
5,-61.4327225196597,9.936386242875,0.022290480969967,court supreme case law justice constitution decision courts congress judges cases constitutional,justices supreme alito court birthright courts court's rulings judges circuit ruling roberts,FALSE,-0.00252297270834008,0.00059334610982834,-4.25210963137519,2.12272248258707e-05,-0.00368593108360363,-0.00136001433307654,-0.00275039514089918,0.00360467487226174,0.44634886789517
6,-89.4870372080084,9.88142712834141,0.0142045840153913,democracy power we've election fight moment authoritarian democratic elections kings important work,indivisible orban hungary kings democracy authoritarian authoritarianism leah protest protests organizing opposition,FALSE,-0.00898006254391366,0.000439218644837699,-20.4455403919203,2.07579905473782e-92,-0.00984093108779555,-0.00811919400003177,-0.00892567766273004,0.00267185090954652,0.000995596633548451
7,-96.0895303522352,9.7008265970405,0.0102290287297053,human capitalism world society nature idea theory life historical science history sense,materialism dialectical consciousness marx contradiction contradictions lenin capitalism evolution philosophy engels marxism,FALSE,-0.00213811154779357,0.000398325709783458,-5.36774678429849,8.01934989164236e-08,-0.00291882993896915,-0.00135739315661799,-0.00242485750890301,0.0030650540656027,0.42979580450104
8,-80.6326473969066,9.88989608338936,0.012526971155755,god christian jesus church christ faith bible says life lord christians love,jesus christ bible pastor prayer christian lord pastors gospel heaven god's pray,FALSE,0.00700663828520475,0.00045897003805889,15.2660036695156,1.84560563787589e-52,0.00610705701060932,0.00790621955980017,0.0077563623002232,0.00412477843191122,0.0614884371506037
9,-114.0997733737,9.98789701717783,0.00795390928153497,black white racist race brown racial color racism dei diversity community jackson,black racist racial racism blacks color african-american dei whites diversity brown affirmative,FALSE,0.000235117306020106,0.000245375722331026,0.958193026541229,0.337971538763257,-0.000245819109748705,0.000716053721788917,0.000433011979703212,0.000597880930833325,0.4697536128245
10,-107.640480884593,9.85878074121328,0.0130642299024949,ai technology companies tech use company model world tiktok models intelligence google,ai anthropic tech openai models technology nvidia microsoft silicon google chips meta,FALSE,-0.000810461296035511,0.00042879098476024,-1.89010805926502,0.0587511244116506,-0.00165089162616558,2.99690340945583e-05,-0.000960103032370572,0.00151772661607365,0.527714960186738
11,-63.9789152336343,9.8105075618189,0.012801082063517,movement political left groups politics party social group organization different organizations conservative,movement movements organizing fascism nationalist nationalism ideological extremism groups ideology organizations solidarity,FALSE,-0.00496219803283736,0.000385758294790612,-12.8634901694877,8.66653192802698e-38,-0.00571828429062696,-0.00420611177504776,-0.00548642974256451,0.00168946875792848,0.00136356861283573
12,-55.5708288753249,9.90514563992629,0.00968453323580298,lebanon hezbollah israel israeli syria quote killed attack military attacks ceasefire forces,lebanon hezbollah lebanese syria syrian yemen airstrikes assad isis beirut houthis turkey,FALSE,-0.000822507854441951,0.000450852484710868,-1.82433918484319,0.0681086710414631,-0.00170617872447525,6.11630155913501e-05,-0.000760097609442815,0.00282564213399305,0.78820426787244
13,-70.2223088654743,9.91383668299323,0.0137243665732592,law government free speech rights freedom laws amendment state public use rules,laws freedom libertarian amendment speech free gun protected rules libertarians guns enforce,FALSE,0.00294544823281362,0.000389744056776575,7.55739101495043,4.20473999615091e-14,0.00218154988153153,0.0037093465840957,0.00284407622741836,0.0011227929961967,0.0120676206869838
14,-70.0004420175774,9.75523802225613,0.0151143885085709,donald trump's american america white united maga ballroom house million states pool,ballroom donald pool reflecting ufc donald's golf birthday memorial lawn posted posting,FALSE,-0.0039117750204218,0.000350178868854488,-11.1707911822837,6.28864407330209e-29,-0.00459812560337659,-0.003225424437467,-0.00442180929100938,0.00177642566660457,0.0136122413421349
