topic,coherence,exclusivity,prop,top_words,frex_words,register,estimate,se,t,p,ci_low,ci_high,est_show,se_show,p_show,ci_low_show,ci_high_show,survives_bonferroni_clustered,se_inflation
1,-94.9607774006452,9.92629293883736,0.007579639579232,musk elon government doge tesla usaid twitter musk's billionaires social billionaire cut,musk elon musk's doge tesla usaid elon's vivek richest spacex efficiency oligarchs,False,-0.0014246185389291,0.0003351300183257,-4.25094280138219,2.13380751341184e-05,-0.0020814733748476,-0.0007677637030105,-0.001564088616826,0.0005671612184061,0.0063538275748897,-0.0026757246049019558,-0.0004524526287500439,False,1.6923617324393119
2,-129.478355391587,9.90618005216997,0.0084321422942927,water car cars air electric pipe plant heat use truck steel buy,pipe cars steel truck plant car hydrogen electric heat water trucks conditioning,False,0.0025701596721894,0.0003465796930707,7.41578264270927,1.23428604977057e-13,0.0018908634737707,0.003249455870608,0.0024116590825167,0.0009067764714551,0.0084511636776152,0.0006343771984647041,0.004188940966568696,False,2.6163577658605734
3,-67.4548233071253,9.65720436729539,0.0106771321902433,american history th america king constitution states nation washington war americans great,jefferson founding slaves hamilton declaration slavery colonies founders franklin lincoln enslaved slave,False,0.0019525455090389,0.0004586933266798,4.25675586599845,2.07912407460743e-05,0.0010535065887463,0.0028515844293314,0.001819648106592,0.0013980483862161,0.194548234727298,-0.0009205267303915559,0.004559822943575556,False,3.047893450588688
4,-76.9615050239587,9.94085740549781,0.0146241596042686,states united countries europe european world foreign international policy india security trade,india europe eu european countries brazil europeans relations pakistan international united cooperation,False,-0.0042243888908826,0.0004062004264978,-10.3997647843562,2.68802766051713e-25,-0.0050205417268184,-0.0034282360549469,-0.0047587299425482,0.0020882657574842,0.0237248855825884,-0.00885173082721723,-0.0006657290578791679,False,5.140973817996497
5,-61.4327225196597,9.936386242875,0.022290480969967,court supreme case law justice constitution decision courts congress judges cases constitutional,justices supreme alito court birthright courts court's rulings judges circuit ruling roberts,False,-0.00252297270834,0.0005933461098283,-4.25210963137519,2.12272248258707e-05,-0.0036859310836036,-0.0013600143330765,-0.0027503951408991,0.0036046748722617,0.44634886789517,-0.009815557890532033,0.004314767608733831,False,6.0751639094841385
6,-89.4870372080084,9.88142712834141,0.0142045840153913,democracy power we've election fight moment authoritarian democratic elections kings important work,indivisible orban hungary kings democracy authoritarian authoritarianism leah protest protests organizing opposition,False,-0.0089800625439136,0.0004392186448376,-20.4455403919203,2.0757990547378197e-92,-0.0098409310877955,-0.0081191940000317,-0.00892567766273,0.0026718509095465,0.0009955966335484,-0.01416250544544114,-0.003688849880018859,False,6.083191005095903
7,-96.0895303522352,9.7008265970405,0.0102290287297053,human capitalism world society nature idea theory life historical science history sense,materialism dialectical consciousness marx contradiction contradictions lenin capitalism evolution philosophy engels marxism,False,-0.0021381115477935,0.0003983257097834,-5.36774678429849,8.01934989164236e-08,-0.0029188299389691,-0.0013573931566179,-0.002424857508903,0.0030650540656027,0.42979580450104,-0.008432363477484292,0.0035826484596782923,False,7.6948436676844265
8,-80.6326473969066,9.88989608338936,0.012526971155755,god christian jesus church christ faith bible says life lord christians love,jesus christ bible pastor prayer christian lord pastors gospel heaven god's pray,False,0.0070066382852047,0.0004589700380588,15.2660036695156,1.84560563787589e-52,0.0061070570106093,0.0079062195598001,0.0077563623002232,0.0041247784319112,0.0614884371506037,-0.0003282034263227523,0.015840928026769154,False,8.98703202796598
9,-114.0997733737,9.98789701717783,0.0079539092815349,black white racist race brown racial color racism dei diversity community jackson,black racist racial racism blacks color african-american dei whites diversity brown affirmative,False,0.0002351173060201,0.000245375722331,0.958193026541229,0.337971538763257,-0.0002458191097487,0.0007160537217889,0.0004330119797032,0.0005978809308333,0.4697536128245,-0.0007388346447300682,0.001604858604136468,False,2.4365936660465026
10,-107.640480884593,9.85878074121328,0.0130642299024949,ai technology companies tech use company model world tiktok models intelligence google,ai anthropic tech openai models technology nvidia microsoft silicon google chips meta,False,-0.0008104612960355,0.0004287909847602,-1.89010805926502,0.0587511244116506,-0.0016508916261655,2.99690340945583e-05,-0.0009601030323705,0.0015177266160736,0.527714960186738,-0.003934847199874756,0.002014641135133756,False,3.5395488012006218
11,-63.9789152336343,9.8105075618189,0.012801082063517,movement political left groups politics party social group organization different organizations conservative,movement movements organizing fascism nationalist nationalism ideological extremism groups ideology organizations solidarity,False,-0.0049621980328373,0.0003857582947906,-12.8634901694877,8.66653192802698e-38,-0.0057182842906269,-0.0042061117750477,-0.0054864297425645,0.0016894687579284,0.0013635686128357,-0.008797788508104164,-0.002175070977024836,False,4.379604484838075
12,-55.5708288753249,9.90514563992629,0.0096845332358029,lebanon hezbollah israel israeli syria quote killed attack military attacks ceasefire forces,lebanon hezbollah lebanese syria syrian yemen airstrikes assad isis beirut houthis turkey,False,-0.0008225078544419,0.0004508524847108,-1.82433918484319,0.0681086710414631,-0.0017061787244752,6.11630155913501e-05,-0.0007600976094428,0.002825642133993,0.78820426787244,-0.006298356192069079,0.00477816097318348,False,6.267331843153781
13,-70.2223088654743,9.91383668299323,0.0137243665732592,law government free speech rights freedom laws amendment state public use rules,laws freedom libertarian amendment speech free gun protected rules libertarians guns enforce,False,0.0029454482328136,0.0003897440567765,7.55739101495043,4.20473999615091e-14,0.0021815498815315,0.0037093465840957,0.0028440762274183,0.0011227929961967,0.0120676206869838,0.0006434019548727677,0.005044750499963832,False,2.8808469986254837
14,-70.0004420175774,9.75523802225613,0.0151143885085709,donald trump's american america white united maga ballroom house million states pool,ballroom donald pool reflecting ufc donald's golf birthday memorial lawn posted posting,False,-0.0039117750204218,0.0003501788688544,-11.1707911822837,6.28864407330209e-29,-0.0045981256033765,-0.003225424437467,-0.0044218092910093,0.0017764256666045,0.0136122413421349,-0.00790360359755412,-0.0009400149844644799,False,5.072909374617677
15,-104.722482942876,9.9510153105682,0.0062726618715334,jewish jews muslim israel anti-semitism religious muslims anti-semitic jew islam religion holocaust,jews jewish jew anti-semitism muslim muslims islam anti-semitic judaism zionism sharia brotherhood,False,0.0020153190574225,0.000349359586568,5.76860957851574,8.05481114709781e-09,0.0013305742677492,0.0027000638470958,0.0017789153680442,0.0013449171030627,0.187432257290466,-0.0008571221539586918,0.004414952890047091,False,3.849664227836848
16,-68.7761155881231,9.92455585506798,0.0207239309311921,case judge attorney justice department jury court criminal general doj cases evidence,indictment jury prosecution prosecutors prosecutor comey judge attorney's attorneys attorney letitia indict,False,-0.0058704040536943,0.0006096601228099,-9.62897823567259,6.391385460486701e-22,-0.0070653378944018,-0.0046754702129868,-0.0070991736086062,0.0037751018019676,0.0614755934526554,-0.014498373140462695,0.0003000259232502963,False,6.192141589593069
17,-52.2314854028337,9.96559882975535,0.0253262063083602,democrats party voters republicans republican vote election democratic win poll polling polls,poll polling voters polls swing democrats independents electorate rating approval republicans midterms,False,0.0002941143164715,0.000419587741459,0.700960222166768,0.483332138635908,-0.0005282776567881,0.0011165062897312,0.000531085802457,0.0019273564105406,0.783174294171507,-0.003246532762202576,0.004308704367116576,False,4.5934526205144905
18,-77.6514829644544,9.93825131442231,0.0088589129657284,oil gas prices strait iran gulf saudi price war hormuz energy ships,oil saudi gulf gallon arabia gas strait tankers barrel crude ships hormuz,False,-0.0009864060440486,0.0003680849081848,-2.67983289212524,0.007369071415603,-0.0017078524640909,-0.0002649596240063,-0.0009221422860176,0.0008346966086076,0.270576282995979,-0.002558147638888496,0.0007138630668532959,False,2.2676740883615194
19,-116.06957510705,9.92392427272402,0.0064619057781012,corruption peter harvard government universities firms university firm money eric research corrupt,corruption peter harvard schweitzer universities firms firm thiel columbia institute donations donor,False,0.0007867858911719,0.0002398421606603,3.28043196828107,0.0010374169378849,0.0003166952562775,0.0012568765260663,0.0009665499712838,0.0009075341145955,0.288134279782294,-0.0008122168933233799,0.00274531683589098,False,3.7838806659221365
20,-90.3492578434055,9.93045128057141,0.0078524893971543,energy climate wind clean change industry administration power projects gas solar project,climate coal offshore energy fossil epa fuels environmental wind emissions projects solar,False,-0.0017704127503581,0.0003277518393204,-5.40168669695,6.6413565800325e-08,-0.0024128063554262,-0.00112801914529,-0.0018957262359517,0.0029399860434347,0.519783296263272,-0.0076580988810837115,0.003866646409180312,False,8.970158793100353
21,-111.361841568267,9.92361266216668,0.0074812831970125,british uk germany hitler german france britain london party prime french minister,labour keir starmer uk german churchill farage mosley ireland brexit nigel britain,False,0.0003327298210353,0.0003470984081168,0.958603707924078,0.337764532409688,-0.0003475830588736,0.0010130427009442,0.0004190911494735,0.0013045514934688,0.748350776352369,-0.002137829777725348,0.002976012076672348,False,3.7584485061360846
22,-68.8354316791872,9.9649875101648,0.0147980875770982,ukraine russia putin russian war russians zelensky nato ukrainian ukrainians peace vladimir,ukrainian zelensky putin ukraine russia's russian ukraine's ukrainians russians russia vladimir putin's,False,-0.0028463023478188,0.0004885821934446,-5.82563668100882,5.73537949071251e-09,-0.0038039234469704,-0.0018886812486673,-0.003260604728277,0.0027603190783509,0.238895486915892,-0.008670830121844764,0.0021496206652907644,False,5.649651410523399
23,-60.9424285317239,9.87578664928223,0.0210966811180634,house white press trump's donald room meeting day office moment asked question,oval press cabinet dinner conference steve room meeting caroline susie reporter house,False,-0.0042629484527257,0.0003944975052655,-10.8060213203534,3.53127989352443e-27,-0.0050361635630461,-0.0034897333424052,-0.0043036458163948,0.0016306971787858,0.0089598396724543,-0.007499812286814967,-0.001107479345974632,False,4.133605807439333
24,-41.638562676616,9.78828281851989,0.0390643456087702,fucking man love shit let's yes let bad i'll tell god everybody,fucking fuck dude shit blah ain't dog ass y'all bro stupid fucked,True,0.0044822999292849,0.0004889101175929,9.16794267083816,5.05628143595562e-20,0.0035240360988027,0.0054405637597671,0.0067837925045585,0.0037779048420226,0.0740448992519216,-0.0006209009858057953,0.014188485994922796,False,7.727197098359789
25,-75.383720790371,9.97808082496943,0.0157432148950929,tariffs economy inflation economic prices trade fed tariff market rates year rate,tariffs tariff inflation fed recession rates powell reserve economists economy gdp goods,False,-0.0002156928786309,0.0004793001463508,-0.450016300377065,0.652701258298909,-0.0011551211654786,0.0007237354082166,-0.0002203952226461,0.0015153347553739,0.884505939270096,-0.003190451343178944,0.0027496608978867442,False,3.161557047105147
26,-76.8301260256472,9.92637172587839,0.0146647177104979,epstein files jeffrey release donald released maxwell bondi documents pam victims sex,epstein files epstein's jeffrey ghislaine maxwell pedophile pam bondi redacted release survivors,False,-0.0040445862726533,0.0005511700308227,-7.33818249627277,2.2084186740840899e-13,-0.0051248795330658,-0.0029642930122408,-0.0047138291373099,0.0014622874140538,0.0014761223355617,-0.007579912468855348,-0.0018477458057644517,False,2.6530604573531096
27,-87.1309899393079,9.86290958048943,0.0087639177644556,fire tonight los angeles california water weather fires today news fema disaster,angeles fema fires los weather hurricane firefighters wildfires tonight palisades rain storm,False,-0.0003876970682864,0.0003144269838147,-1.23302734257307,0.217573202750041,-0.0010039739565634,0.0002285798199905,-0.0004010185994644,0.0018723764004057,0.830625639918172,-0.004070876344259572,0.003268839145330772,False,5.954884589387341
