agg,transform,estimator,r2,n
mean,clr,svr_rbf,0.4382046906821482,204
mean,log,pls,0.425907478399151,204
mean,logit,pls,0.42528643158776747,204
mean,log,ridge,0.41869955188253494,204
mean,clr,elasticnet,0.4183135891053852,204
mean,clr,krr_rbf,0.41824608680973585,204
mean,logit,ridge,0.4182114300634736,204
mean,log,krr_rbf,0.4167380429900377,204
mean,clr,ridge,0.4163966430267986,204
mean,logit,krr_rbf,0.4162758734435942,204
mean,clr,pls,0.4143569967244167,204
mean,logit,elasticnet,0.41259189644879546,204
mean,logit,svr_rbf,0.41228058134512746,204
mean,log,elasticnet,0.41190624709657675,204
mean,log,svr_rbf,0.40575267068898924,204
mean,sqrt,svr_rbf,0.4003568951153662,204
mean,sqrt,ridge,0.38076801196094745,204
mean,sqrt,elasticnet,0.34838791297556615,204
mean,log,knn,0.33831107152731843,204
mean,sqrt,pls,0.33372968577713735,204
mean,raw,svr_rbf,0.3335539681374219,204
mean,logit,knn,0.33161813370835636,204
mean,sqrt,krr_rbf,0.32926399905395864,204
mean,raw,krr_rbf,0.3217608045345677,204
mean,clr,rf,0.3155285610319768,204
mean,clr,gbr,0.29469716000680446,204
mean,raw,gbr,0.2926745660520691,204
mean,sqrt,gbr,0.29035141789027585,204
mean,logit,gbr,0.28727790321148505,204
mean,log,gbr,0.28727790321148505,204
mean,sqrt,knn,0.28007448232677035,204
mean,sqrt,rf,0.27943148473618473,204
mean,log,rf,0.2791401566215652,204
mean,logit,rf,0.27902132143732605,204
mean,raw,rf,0.2782070431828696,204
mean,clr,knn,0.2673070350082827,204
median,logit,svr_rbf,0.22738585039305848,204
median,log,svr_rbf,0.2263626184280385,204
mean,raw,knn,0.22582041643386352,204
median,sqrt,knn,0.21957901745938713,204
median,clr,svr_rbf,0.2181837558972567,204
median,sqrt,svr_rbf,0.20267960615952307,204
median,clr,rf,0.20152398466673704,204
median,clr,krr_rbf,0.19283023384983622,204
median,log,krr_rbf,0.17877408983580423,204
median,clr,gbr,0.17812201299122554,204
median,logit,krr_rbf,0.17068215481210613,204
median,raw,rf,0.16413742946728738,204
median,sqrt,rf,0.1584035982333557,204
median,logit,rf,0.1581583555995848,204
median,log,rf,0.15733910188211309,204
median,raw,krr_rbf,0.14649245071157735,204
median,clr,knn,0.13007672320578767,204
median,log,knn,0.12718948685961362,204
median,clr,elasticnet,0.11847953264745759,204
median,raw,svr_rbf,0.1177939905017672,204
median,logit,knn,0.11493603990781232,204
median,raw,elasticnet,0.11149741441380467,204
median,sqrt,krr_rbf,0.10665859135161593,204
mean,raw,elasticnet,0.09371472533814151,204
median,logit,pls,0.08144687929727945,204
median,log,pls,0.07920106382471703,204
median,logit,ridge,0.06892471720373694,204
median,log,ridge,0.06839236506500912,204
median,raw,knn,0.0651902099470354,204
mean,raw,ridge,0.06110712199943291,204
median,clr,pls,0.059133399691424615,204
median,sqrt,gbr,0.03574628207275099,204
median,log,gbr,0.03477177759945027,204
median,logit,gbr,0.03450897452066015,204
median,raw,gbr,0.02954850995110825,204
mean,raw,pls,0.02054286944047723,204
median,clr,ridge,-0.0003836545110988965,204
median,log,elasticnet,-0.14695703608042,204
median,logit,elasticnet,-0.1643859175210507,204
median,sqrt,ridge,-0.33189339290933395,204
median,sqrt,elasticnet,-0.34389593481215397,204
median,sqrt,pls,-2.705268542360199,204
median,raw,pls,-108.06372513939084,204
median,raw,ridge,-109.65851534101571,204
