collection_id,show_name,publisher,window_months,n_episodes,total_hours,median_ep_minutes,feed_truncated
1556687660,Candace Owens,The Daily Wire,24,0,0.0,0.0,False
1659250199,"Mueller, She Wrote - When the Facts Were Fresh",MSW Media,24,0,0.0,0.0,False
1494037881,Checks and Balance from The Economist,The Economist,24,8,3.55,26.3,False
1599294971,Extremely American,NPR,24,9,4.65,29.5,False
1884144340,Get Angry,"Bryan Andrews, ItsLuke",24,18,11.02,37.3,True
1871930209,Essential Minnesota,Minnesota Star Tribune,24,30,11.2,24.6,True
1788738240,It’s That Part,Jesse Lee Hammonds,24,28,12.3,23.8,True
1763234285,Autocracy in America,The Atlantic,24,29,15.1,33.4,True
1801103648,The Nerd Reich,nerdreich,24,20,15.65,46.9,True
1896897095,Wired In,The Daily Wire,24,18,18.83,65.6,True
1871531782,Uncertain with DL Hughley,DL Hughley,24,26,19.48,46.3,True
1889550138,The Loren Piretra Show,Loren Piretra,24,103,22.74,12.5,True
1849994842,Deseret Voices,Deseret News,24,41,23.71,33.3,True
1696250206,HasanAbi,HasanAbi,24,42,23.74,20.7,True
1875402719,Make It Make Sense,The Washington Post,24,42,23.96,34.2,True
1889705401,Nobody Knows Anything,Narrowcast Media,24,27,26.79,59.2,True
1869456664,What's The Plan? with Leah Greenberg and Ezra Levin,Indivisible,24,26,26.86,64.8,True
1896576050,Brian Tyler Cohen,Brian Tyler Cohen Network,24,138,30.35,11.7,True
1877144831,Paul Krugman Podcast,Paul Krugman,24,77,31.02,20.0,True
402306412,The Majority Report with Sam Seder,Sam Seder,24,25,32.89,78.3,True
1868807558,Batya!,Batya,24,51,33.12,39.9,True
1839861250,The Moment with Jorge Ramos and Paola Ramos,iHeartPodcasts,24,43,33.33,47.4,True
1715894000,Trump's Terms,NPR,24,379,37.6,5.1,True
1873028393,Politics Chat,Heather Cox Richardson,24,48,37.89,47.4,True
969924303,The Skepticrat,"Puzzle in a Thunderstorm, LLC",24,46,38.42,49.8,False
682478916,War on the Rocks,Ryan Evans,24,66,38.54,30.9,False
1798460240,10 Minute Drill,Matt Whitlock,24,200,42.78,13.2,True
1408796715,Runaway Country with Alex Wagner,Runaway Country with Alex Wagner,24,40,43.06,67.6,False
1112258664,Russian Roulette,Center for Strategic and International Studies,24,56,43.23,45.4,False
387042247,Washington Today,C-SPAN,24,52,43.89,57.0,True
1378389941,Uncommon Knowledge,Hoover Institution,24,44,46.54,63.9,False
1874174561,Hope For America with Heather Delaney Reese,Heather Delaney Reese,24,164,48.28,17.5,True
1567204040,The Drill Down with Peter Schweizer,Government Accountability Institute,24,101,48.29,28.3,False
925428680,Conversations with Bill Kristol,Bill Kristol,24,44,48.88,67.7,False
91959525,This Week with George Stephanopoulos,ABC News,24,60,49.64,50.6,True
1695205478,What Really Matters with Walter Russell Mead,Tablet Magazine,24,84,52.37,34.9,False
1294461271,GZERO World with Ian Bremmer,GZERO Media,24,103,52.92,29.4,False
1886801652,Sidebar with Katie Phang,Katie Phang,24,132,53.27,21.1,True
1702202187,Perino on Politics,FOX News Podcasts,24,111,54.52,28.9,True
1728340033,Mission Implausible,iHeartPodcasts,24,94,58.97,37.1,True
1574741668,American Prestige,Daniel Bessner & Derek Davison,24,96,59.39,46.4,True
1570432345,Firing Line with Margaret Hoover,Firing Line With Margaret Hoover,24,82,59.59,42.9,False
1172546141,The President’s Inbox,Council on Foreign Relations,24,100,60.21,35.4,True
1195206601,The Intercept Briefing,The Intercept,24,97,61.39,37.9,False
1449848509,I Don't Speak German,IDSG,24,52,61.79,74.7,False
1258635512,Radio Atlantic,The Atlantic,24,122,62.08,30.7,False
1721969693,Politix,Politix,24,102,66.83,38.9,True
1599891719,Seattle Nice,"David Hyde, Erica Barnett, and Sandeep Kaushik",24,103,67.19,41.2,False
1818418128,Pod Force One,New York Post,24,111,68.71,38.8,True
1111319839,The Conversation with Dasha Burns,POLITICO,24,99,69.61,42.0,False
1767877239,No Gods No Mayors,The Office of the Mayor,24,98,70.42,36.6,True
1606834013,The Josh Hammer Show,The Josh Hammer Show,24,100,70.48,42.2,True
1208232103,The Buck Sexton Show,Premiere Networks,24,249,71.05,16.2,False
1462703434,Know Your Enemy,Matthew Sitman,24,100,75.67,59.7,False
1635446643,The Coffee Klatch with Robert Reich,Robert Reich,24,118,76.8,40.1,False
1480605295,POLITICO Energy,POLITICO,24,402,76.91,9.7,False
1548086514,The Arena,Father Josiah Trenham,24,225,78.49,18.0,False
1623855270,The Foreign Affairs Interview,Foreign Affairs Magazine,24,89,79.5,54.4,True
1368074498,The Lars Larson Show Pacific Northwest Podcast,Lars Larson,24,50,79.79,96.5,True
1536984072,The Dishcast with Andrew Sullivan,Andrew Sullivan,24,98,80.51,49.9,False
1462195742,The Al Franken Podcast,The Al Franken Podcast,24,104,82.03,47.2,False
1725442221,Hawk Podcasts,Hawk,24,165,82.35,25.4,True
1725387804,The Illegal News with Sarah Longwell,The Bulwark,24,96,83.79,50.9,True
702998658,Week In Review,KUOW News and Information,24,97,84.36,51.7,False
1531192509,Bad Faith,Briahna Joy Gray,24,100,87.34,30.0,True
1818658022,"Life, Liberty & Levin Podcast",FOX News Podcasts,24,113,88.35,46.8,True
1586423406,The Focus Group Podcast,The Bulwark,24,97,88.5,53.6,False
1549502623,Cleanup on Aisle 45 with AG & Harry Dunn,MSW Media,24,106,89.25,50.5,False
1595408601,The PoliticsGirl Podcast,"Meidas Media Network, Leigh McGowan",24,107,90.2,51.8,False
1614844654,Week In Review,FITSNews,24,96,90.33,54.9,False
1876034889,Breaking News from Pod Save America,Crooked Media,24,241,90.95,21.4,True
1502568407,SGT Report’s The Propaganda Antidote,SGT Report,24,100,92.72,56.4,True
