collection_id,show_name,episodes_in_feed,episodes_usable,duration_missing_or_unparseable,duration_byte_estimated
1192761536,Pod Save America,1200,1200,0,0
1510240831,The MeidasTouch Podcast,4069,4069,0,0
1794450472,Bulwark Takes,500,500,0,0
1447684472,The Bulwark Podcast,500,500,0,0
1730358737,Letters from an American,824,824,0,0
1750591415,Candace,402,402,0,0
1617887885,The President's Daily Brief,1806,1806,0,0
1050430296,The New Yorker Radio Hour,1047,1047,0,0
1057255460,The NPR Politics Podcast,1750,1750,0,0
1865794721,Real Baron Podcast,143,143,0,0
1495601614,Verdict with Ted Cruz,1162,1162,0,0
1645614328,Fast Politics with Molly Jong-Fast,692,692,0,0
1640311112,The Necessary Conversation,216,216,0,0
1647085571,The Next Level,372,372,0,0
1258635512,Radio Atlantic,370,370,0,0
268213039,The Political Scene | The New Yorker,150,150,0,0
1535384390,Ruthless Podcast,705,705,0,0
1408796715,Runaway Country with Alex Wagner,76,76,0,0
1774505095,Raging Moderates with Scott Galloway and Jessica Tarlov,203,203,0,0
1570045623,Breaking Points with Krystal and Saagar,1601,1601,0,0
1317481380,UnJustified,457,457,0,0
73330715,On the Media,1892,1892,0,0
1200016351,Pod Save the World,537,537,0,0
1692806415,The Briefing with Jen Psaki,408,408,0,0
1551206847,#SistersInLaw,316,316,0,0
1485351658,Bannon`s War Room,4405,4394,11,4387
1507444393,X22 Report,328,328,0,0
1314170606,All In with Chris Hayes,232,232,0,0
1795032531,The Jim Acosta Show,261,261,0,0
1367201919,Deadline: White House,475,475,0,0
75462585,NBC Nightly News with Tom Llamas,957,957,0,0
1674095262,The Wright Report,861,860,1,0
1456045551,Talking Feds,519,519,0,0
1876034889,Breaking News from Pod Save America,241,241,0,0
1551582052,The Lincoln Project,600,600,0,0
158004641,Political Gabfest,1112,1112,0,0
1303660358,The Fox News Rundown,1200,1200,0,0
1743030473,The Rest Is Politics: US,225,225,0,0
1490993194,Advisory Opinions,657,657,0,0
1586423406,The Focus Group Podcast,162,162,0,0
91959525,This Week with George Stephanopoulos,60,60,0,0
1529346075,Impolitic with John Heilemann,388,388,0,0
1788738240,It’s That Part,28,28,0,0
1515399733,No Lie with Brian Tyler Cohen,353,353,0,0
1169056746,The Playbook Podcast,2189,2189,0,0
1495251160,John Solomon Reports,2027,2027,0,0
1549272440,The Daily Punch,1507,1507,0,0
1291144720,The Remnant with Jonah Goldberg,1144,1144,0,0
1725387804,The Illegal News with Sarah Longwell,120,120,0,0
1810218232,Next Up with Mark Halperin,123,123,0,0
78911087,Face the Nation with Margaret Brennan,505,505,0,0
597919007,The Young Turks,2186,2186,0,0
1314368109,The 11th Hour with Ali Velshi,148,148,0,0
1536169792,Talkin‘ Politics & Religion Without Killin‘ Each Other,442,442,0,0
929121341,Louder with Crowder,1232,1232,0,0
1386375601,The Ben Ferguson Podcast,3416,3416,0,0
1818418128,Pod Force One,111,111,0,0
402050558,The David Pakman Show,1022,1022,0,0
219258773,Brian Kilmeade Show,2572,2572,0,0
1265845136,Stay Tuned with Preet,1008,1008,0,0
1474001390,TRUE ANON TRUTH FEED,531,531,0,0
1506127536,Making the Argument with Nick Freitas,300,300,0,0
1681586867,The Warning with Steve Schmidt,963,963,0,0
1873028393,Politics Chat,48,48,0,0
1679657705,Main Justice,232,232,0,0
1138657182,Liberty Lockdown,538,538,0,0
402306412,The Majority Report with Sam Seder,25,25,0,0
1364113251,The Beat with Ari Melber,1131,1131,0,0
1854256395,America First with Nicholas J. Fuentes Repost,100,100,0,0
354628391,Renegade Talk Radio,8275,8275,0,4
1595408601,The PoliticsGirl Podcast,249,249,0,0
1467297559,Hacks On Tap,383,383,0,0
1728152109,THE DAILY BLAST with Greg Sargent,586,586,0,0
1484862164,Politics War Room with James Carville & Al Hunt,379,379,0,0
1452065072,Newt's World,1019,1019,0,0
1790957194,The 47 Morning Update with Ben Ferguson,1348,1348,0,0
1462703434,Know Your Enemy,275,275,0,0
1886801652,Sidebar with Katie Phang,132,132,0,0
1584730781,The Benny Show,1014,1014,0,0
1517313007,The Hugh Hewitt Show: Highly Concentrated,100,100,0,0
1441649707,Straight White American Jesus,1064,1064,0,0
1195206601,The Intercept Briefing,404,404,0,0
1889550138,The Loren Piretra Show,103,103,0,0
1538788132,Tangle,1211,1211,0,0
1294461271,GZERO World with Ian Bremmer,437,437,0,0
1585243541,Human Events Daily with Jack Posobiec,1454,1454,0,0
1253076699,The Michael Berry Show,2754,2754,0,0
1635418897,The Chris Cuomo Project,446,446,0,0
969924303,The Skepticrat,273,273,0,0
1623855270,The Foreign Affairs Interview,100,100,0,0
73331636,The Brian Lehrer Show,2000,2000,0,0
1822142909,Glenn Diesen - Greater Eurasia Podcast,820,820,0,0
1072469956,Fox Across America w/ Jimmy Failla,2170,2170,0,0
1218054701,Rev Left Radio,715,715,0,0
1456850698,The Graham Allen Show,1375,1375,0,0
1805186512,Going Rogue with Lara Logan,88,88,0,0
1509826894,RealClearPolitics Podcast,600,600,0,0
716825890,The Tom Woods Show,750,750,0,0
1820648828,The Joy Reid Show,178,178,0,0
1889705401,Nobody Knows Anything,27,27,0,0
1573813504,The Smerconish Podcast,1965,1965,0,0
1696974077,The Source with Kaitlan Collins,726,726,0,0
1574741668,American Prestige,96,96,0,0
1669610956,System Update with Glenn Greenwald,588,587,1,0
1548554104,Volts,432,432,0,4
1647025876,Wendy Bell Radio Podcast,387,387,0,0
1378389941,Uncommon Knowledge,100,100,0,0
1896576050,Brian Tyler Cohen,138,138,0,0
1494037881,Checks and Balance from The Economist,19,19,0,0
1715894000,Trump's Terms,462,462,0,0
1587492577,The Mel K Show,100,100,0,0
1660317917,Defending Democracy with Marc Elias,248,248,0,0
1635446643,The Coffee Klatch with Robert Reich,463,463,0,8
1722246285,The Breakdown,1000,1000,0,0
506779862,Lectures in History,416,416,0,0
1147092464,Opening Arguments,1259,1259,0,0
1695205478,What Really Matters with Walter Russell Mead,136,136,0,0
1263295815,The Pete Quiñones Show,1000,1000,0,0
1728340033,Mission Implausible,124,124,0,0
1636762428,Dad Saves America,216,216,0,0
1798460240,10 Minute Drill,200,200,0,0
1471411980,American Thought Leaders,200,200,0,0
1714879044,The Tony Kinnett Cast,618,618,0,0
1579061364,Head in the Office,332,332,0,0
1093260018,Slate News,4870,4870,0,0
925428680,Conversations with Bill Kristol,322,322,0,0
1462195742,The Al Franken Podcast,391,391,0,0
1576614213,American Conservative University,800,800,0,0
1696250206,HasanAbi,42,42,0,0
1467993804,What the Hell Is Going On,200,200,0,0
1877144831,Paul Krugman Podcast,77,77,0,0
1849994842,Deseret Voices,41,41,0,0
1709994511,UNGOVERNED,100,100,0,0
