episode_id,collection_id,show_name,stratum,episode_title,episode_description,gold_has_guests,gold_names,
5327f3e70f77fcae,1722246285,The Breakdown,large,"How Trump, 79, Is Declining in Plain Sight",,NO,,
6d008263c7825583,545045867,Scott Horton Show - Just the Interviews,large,11/18/22 Hassan El-Tayyab on the War in Yemen and What We’re Doing About It,"Hassan El-Tayyab was back on Antiwar Radio Sunday to discuss the effort to end the war on Yemen. Scott and El-Tayyab have been advocating for the passage of two War Powers Resolutions (H.J.Res. 87 and S.J.Res. 56) in the two houses of Congress. In this interview, they discuss where things stand and what needs to get done. El-Tayyab argues that this lame-duck period in the House is the best time to get these resolutions passed. Discussed on the show: 1833stopwar.com “State and DOD Need Better Information on Civilian Impacts of U.S. Military Support to Saudi Arabia and the United Arab Emirates” (Government Accountability Office) Hassan El-Tayyab is a musician and peace activist, who works as the lead lobbyist on Middle East policy for the Friends Committee on National Legislation. This episode of the Scott Horton Show is sponsored by: The War State and Why The Vietnam War?, by Mike Swanson; Tom Woods’ Liberty Classroom; ExpandDesigns.com/Scott; and Thc Hemp Spot. Get Scott’s interviews before anyone else! Subscribe to the Substack. Shop Libertarian Institute merch or donate to the show through Patreon, PayPal or Bitcoin: 1DZBZNJrxUhQhEzgDh7k8JXHXRjYu5tZiG. Learn more about your ad choices. Visit megaphone.fm/adchoices",YES, Hassan El-Tayyab ,
a01b3f4819fb93dd,1614844654,Week In Review,small,"North Charleston Tesla Firebombing, Sheriff Indicted on Corruption Charges - WIR 3/15/25",,NO,,
30b80ef731b8ec63,78911087,Face the Nation with Margaret Brennan,medium,"María Corina Machado, Rep. Mike McCaul, Gary Cohn","This week on 'Face the Nation,' an exclusive interview with Venezuelan opposition leader and Nobel Peace Prize winner María Corina Machado. After a whirlwind of meetings in Washington, Machado is projecting optimism about her country's future…even as her own future remains murky, with the party she defeated in nationwide election still holding power with the support of President Trump. What comes next for her and for Venezuelans? Meanwhile the debate over ICE immigration enforcement drives more protests across the country and sparks a fight in Congress over funding for the Department of Homeland Security. We talk to Republican Congressman Michael McCaul about immigration debate that sparked a partial government shutdown. Plus - President Trump's top economic adviser in his first term, Gary Cohn joins us. We ask about the president's new pick to lead the Federal Reserve and the state of the economy as tax season gets underway. Finally - a bipartisan conversation with four of America's mayors on how they're striking a balance between local priorities and federal authority.",YES,María Corina Machado; Rep. Mike McCaul; Gary Cohn,
e8f5f6d161ea3945,1800671132,Destiny,medium,Thinkers - Republicans ‘romanticize’ the idea of US civil war,"Destiny joins Times Radio’s Stig Abell to discuss what it means to be a commentator post the assassination of Charlie Kirk, why he got into politics and whether Donald Trump deserves any credit for the peace plan in Gaza. Destiny's Op-Eds and other Articles - YouTube - Merch - Stream - Discord - Twitter -",YES,Stig Abell,
03299067a68f2874,702998658,Week In Review,small,"Week in Review: Washington GOP, Dave Reichert, and density","Bill Radke discusses the week’s news with former state Representative and Senator Bill Finkbeiner, Seattle Channel host and producer Brian Callanan, and The Stranger editor Rich Smith. See omnystudio.com/listener for privacy information.",YES,Bill Finkbeiner; Brian Callanan; Rich Smith,
106b3c9e7b29433b,1871531782,Uncertain with DL Hughley,small,You Can't Kill Your Way to Peace!!!,"America has been at war for 233 of its 250 years of existence—93% of our history. In this explosive episode, we break down the latest Middle Eastern conflict, exposing the pattern of regime changes, oil interests, and imperial ambitions that have defined American foreign policy for generations. From Operation Ajax in 1953 Iran to today's attacks, we examine how powerful white men have consistently pursued natural resources under the guise of liberation. We discuss Iran's unexpected military capabilities, the miscalculations that led to American casualties, and why this conflict mirrors every failed intervention from Vietnam to Afghanistan. We also dive into the Texas Senate race, voter suppression, and what the 2026 midterms could mean for Trump's unchecked power. Plus: the Epstein files, Clinton's testimony vs Trump's refusal, Lauren Boebert's Beetlejuice scandal, and why Dr. Umar Johnson and other grifters thrive in a nation that reads at a 5th-grade level. Also on the this N**** right here segment, we cover Wesley Hunt. This episode is sponsored by PrizePicks: Download the PrizePicks app today and use code UNCERTAIN to get $50 in lineups after you play your first $5 lineup! That’s code UNCERTAIN to get $50 in lineups after you play your first $5 lineup! PrizePicks. It’s good to be right! This episode is sponsored by Kikoff: Build credit fast and get your first month for just a dollar at today. Thanks to Kikoff for sponsoring us! This episode is sponsored by The Wellness Company: You never know when you are going to need your medical emergancy kit. Get a $45 discount when you use my code UNCERTAIN or just visit ⁠ Sponsor Uncertain: ⁠⁠ Go see DL Hughley Live: Learn more about your ad choices. Visit megaphone.fm/adchoices",NO,,
95869201922b56be,1535255041,Unf*cking The Republic,medium,A Contested Convention: Building the Progressive Bench (Project 500).,"Despite his assurances to the contrary, Joe Biden as the Democratic nominee is far from a lock. What happens if the DNC winds up hosting a contested convention? In this episode we delve into a brief history of contested conventions and draw upon prior examples to demonstrate how progressives can use a contested convention to their advantage and get the so-called progressive movement back on track. Chapters Intro: Chapter One: Nullification. Chapter Two: Delegate to the Delegate. Chapter Three: Moon Shot for Progressives. Post Show Musings: Outro: Resources 99's Birthday Donor Drive FactCheck.org: Q&A: How Biden Can Be Replaced as the Democratic Nominee Democrats.org: Delegate Selection Rules History: How Ronald Reagan's 1976 Convention Battle Fueled His 1980 Landslide History: 4 Contested Conventions in Presidential Election History Brookings: What is a brokered convention? What is a contested convention? PBS News: What is a contested convention, and why does it matter in 2020? Newsweek: Joe Biden Is Ready for a Messy D",NO,,
f67e9c4e741285a3,1452065072,Newt's World,large,"Episode 361: The Border Crisis in Yuma, Arizona","On December 9th, 2021, the town of Yuma, Arizona was facing a tough challenge – a surge of migrants crossing the U.S.-Mexico border. 6,000 migrants crossed the border in a five-day period, leading Mayor Douglas Nicholls to announce a State of Emergency. To understand more about the border crisis on the front lines, Newt’s guest is Mayor Douglas Nicholls of Yuma, Arizona. Learn more about your ad-choices at See omnystudio.com/listener for privacy information.",YES,Douglas Nicholls,
1d61ebe4904c6a1d,1573813504,The Smerconish Podcast,large,Daily Poll: Is Joe Biden a Victim of Ageism?,"Every day, we post a thought-provoking poll question for you to vote on at Smerconish.com. Michael explains it here to give you some insight behind the question, and then asks you to cast your ballot. Today Michael asks you: Is Joe Biden a victim of ageism? Listen here, then vote! Hosted by Simplecast, an AdsWizz company. See for information about our collection and use of personal data for advertising.",NO,,
ffb91163962b26c1,1309354521,Majority 54,medium,The future of the party,"On this week's episode, Jason and Ravi tackle the latest news and weigh in on the progressive vs. moderate debate raging within the Democratic party. Everybody’s unique and Helix knows that, so they have several different mattress models to choose from. Helix is offering up to 200 dollars off ALL mattress orders and two free pillows for our listeners at HelixSleep.com/MAJORITY54 You can grow thicker, healthier hair with Nutrafol. New customers will get twenty-percent off and free shipping when you use the promo code M54 at on Nutrafol.com Jason is back with a new season and a new co-host, Ravi Gupta. Each week, they'll tackle our most pressing issues, giving you the tools necessary to successfully have conversations across the aisle. Majority54 is a Wonder Media Network production. It's produced by Grace Lynch and Edie Allard. Theme music provided by Kemet Coleman. Special thanks to Diana Kander. Majority 54 on Twitter Jason on Twitter Jason on Instagram Ravi on Twitter Ravi on Instagram Learn more about your ad choices. Visit megaphone.fm/adchoices",NO,,
8614ebd5424695e0,219258773,Brian Kilmeade Show,large,Trump Campaign Manager Chris LaCivita doesn't rule out debating Harris,Learn more about your ad choices. Visit podcastchoices.com/adchoices,NO,,
ff6214ab2902d730,1647025876,Wendy Bell Radio Podcast,medium,Hour 3: The Greatest Case to Put Deep State Dems In Prison,"Nothing will change in America until prominent Democrats are prosecuted and convicted for their crimes. Until then, it’s open season on all of us. Listen to the man who makes that solid case. The Department of War drops a new batch of UFO videos and audio recordings just as we learn another UFO scientist has ""died."" Wait until you hear how. Good News takes us to Atlanta where a retired school principal goes back to work in a most unusual way.",NO,,
cb5689fccc7a0f44,791564318,Jacobin Radio,large,The Dig: Marx's Eighteenth Brumaire with Dylan Riley,"Dan discusses The Eighteenth Brumaire of Louis Bonaparte — Marx's take on revolution and reaction in mid-nineteenth-century France, the broader theories he develops about history and the relationship between politics and the class war, and how this all might apply to today — with political sociologist Dylan Riley. Check out Dan's recent NYT op-ed, ""The Case Against Border Security."" Thanks to NACLA, reporting on the Americas since 1967. Check out their collection of articles on Latin American politics at nacla.org . And thanks, as always, to Verso. Check out their huge collection of left-wing titles at www.versobooks.com . Please support this podcast with your money at Patreon.com/TheDig!",YES,Dylan Riley,
024f3ca9dbcd6fe7,1750591415,Candace,medium,What Really Happened To Michael Jackson? | Candace Ep 55,"It's Michael Jackson's birthday! Let's discuss what really happened to him. Beam Get 40% off Beam with promo code: CANDACE at Native Path Get up to 45% off your order at Act today! Call 800-795-1210 or visit N M L S 1 8 2 3 3 4, N M L S Candace on Apple Podcasts: Candace on Spotify: Candace on Rumble: Subscribe to Club Candace: Join The Candace Community on Locals: #CandaceShow #Candace #CandaceOwens #News #Politics #Culture #PopCulture Learn more about your ad choices. Visit megaphone.fm/adchoices",NO,,
cff86d719f6de6e6,158004641,Political Gabfest,large,"The Political Gabfest: The ""Would You Like a Ride in My Ferrari?"" Edition","Slate's Political Gabfest, featuring David Plotz, John Dickerson, and Emily Bazelon. This week: David Remnick's Obama profile, Netflix's Romney documentary, and the McDonells' political scandal.Show notes at www.slate.com/gabfest. Need to set up your Slate Plus feed? If you subscribed through Slate.com, check out our FAQ at slate.com/podcastfaqs for easy instructions. Members subscribed via Apple Podcasts get automatic access—no setup required. Hosted on Acast. See acast.com/privacy for more information.",YES,David Plotz; John Dickerson; Emily Bazelon,
634f0ebaac354839,1896897095,Wired In,small,Wired In: Inner Workings of the Trump White House EXPOSED,"Bestselling author and veteran reporter Jonathan Swan joins the show to reveal the secrets behind his viral new book on the second Trump administration. Tennessee Congressman Andy Ogles wants to denaturalize immigrant felons. Hillsdale College's Dr. Matthew Spalding on Trump's massive Supreme Court victories today. And shocking new details on America's fertility and demographic crisis. Ep. 59 - - - Become a Daily Wire Member and watch all of our content ad-free: 📲 Download the free Daily Wire app today on iPhone, Android, Roku, Apple TV, Samsung, and more. - - - Privacy Policy: Learn more about your ad choices. Visit podcastchoices.com/adchoices",YES,Jonathan Swans,
4e520e25bd85974a,1714009198,Mea Culpa,medium,Free Speech…Think Again + A Conversation with Charlie Sykes,"Today on Mea Culpa, I’m joined by Charlie Sykes, political commentator, author of “How the Right Lost Its Mind,” writer of the Substack newsletter “To the Contrary,” and MSNBC contributor, for a hard-hitting conversation on Trump’s unraveling of American leadership at home and abroad. Once at the center of the conservative movement, Sykes brings invaluable insight into Trump’s grip on the GOP. We break down Trump’s UN General Assembly speech, his pivot to isolationism, and how his rhetoric is reshaping the GOP into an authoritarian, nationalist movement. We also dig into Trump’s attacks on the press, the fight over Jimmy Kimmel’s suspension, and what escalating political violence means for America’s future. Thanks to our sponsors: Hims: Start your free online visit today at Superpower: Go to and use code COHEN to get $50 Off your annual Superpower subscription. Live up to your 100-Year potential. #superpowerpod Subscribe to Michael's Substack: Subscribe to Michael's YouTube Channel: Join us on Patreon: Add the Mea Culpa podcast feed: Add the Political Beatdown podcast feed: Learn more about your ad choices. Visit megaphone.fm/adchoices",YES,Charlie Sykes,
b1f3080e4597c396,1790957194,The 47 Morning Update with Ben Ferguson,large,China Must Pay,The Senator and Michael discuss the concrete steps being taken to make China pay for its misdeeds and to prevent further problems in the future. Learn more about your ad choices. Visit megaphone.fm/adchoices See omnystudio.com/listener for privacy information.,NO,,
d27ed94f32f015e8,1660317917,Defending Democracy with Marc Elias,medium,The Wisconsin GOP Is Out of Control with State Rep. Greta Neubauer,"The Wisconsin GOP has a new scheme: remove the state’s top elections official and impeach newly-elected state Supreme Court Justice Janet Protasiewicz. Why? So they can cling to majority rule with minority support and avoid accountability. Democratic Leader of the Wisconsin Assembly Rep. Greta Neubauer explains what’s going on, why Republicans are doing this and what she thinks will happen. For a transcript of this episode, please email transcripts@democracydocket.com . Follow Democracy Docket! Twitter Post Facebook Instagram TikTok Subscribe to our free newsletters",YES,Greta Neubauer,
1795da87e3d8b708,1634341981,Antiwar News With Dave DeCamp,large,"10/27/25: US Deploys Aircraft Carrier Strike Group Near Venezuela, US OKs Israeli Airstrike in Gaza, and More",Support the show: Antiwar.com/donate Phone bank for Defend the Guard: Sign up for our newsletter:,NO,,
460e8e34e2d0dae4,1493858530,Hood Politics with Prop,medium,Tap In: Donnie's Angels... Pour One Out for Kristi Noem,"You might have noticed, as Kristi Noem gets removed from her position, that Trump is just letting all these women go out in front and take all the bullets for him. It may come off like he’s hiring a bunch of women and putting them in powerful positions, but he’s actually putting them in impossible positions and making them take the fall for him. These women are participating in their own subjugation. From one marginalized people group to another...you gotta know when you being pimped. --- Follow Hood Politics: Follow Prop: See omnystudio.com/listener for privacy information.",NO,,
