show_id,show,n_eps,hours,med_ep_min
1715894000,Trump's Terms,216,25.01,5.6
1809246826,The Keith Edwards Show,147,25.01,9.7
1871628261,The Harry Sisson Show,141,25.05,9.7
1480605295,POLITICO Energy,130,25.0,9.5
1730358737,Letters from an American,125,25.15,11.8
1896576050,Brian Tyler Cohen,115,25.02,11.7
1798460240,10 Minute Drill,115,25.11,13.2
1549272440,The Daily Punch,104,25.02,13.1
1169056746,The Playbook Podcast,96,25.04,13.7
1208232103,The Buck Sexton Show,89,25.14,16.4
1785081636,The Mary Trump Podcast,85,25.43,17.0
1874174561,Hope For America with Heather Delaney Reese,84,25.25,17.7
1057255460,The NPR Politics Podcast,81,25.05,17.6
1681586867,The Warning with Steve Schmidt,78,25.12,10.5
75462585,NBC Nightly News with Tom Llamas,76,25.14,20.4
1573813504,The Smerconish Podcast,72,25.66,21.0
1548086514,The Arena,69,25.31,19.3
1617887885,The President's Daily Brief,69,25.06,18.8
1790957194,The 47 Morning Update with Ben Ferguson,69,25.06,15.9
1303660358,The Fox News Rundown,65,25.49,22.8
1876034889,Breaking News from Pod Save America,65,25.09,22.1
1587936366,The Inside Story Podcast,62,25.37,24.8
1728152109,THE DAILY BLAST with Greg Sargent,62,25.05,23.8
1510240831,The MeidasTouch Podcast,60,25.26,20.3
1886801652,Sidebar with Katie Phang,59,25.17,21.2
1794450472,Bulwark Takes,59,25.68,20.9
1877144831,Paul Krugman Podcast,58,25.25,28.2
1386375601,The Ben Ferguson Podcast,55,25.17,29.1
73331636,The Brian Lehrer Show,55,25.25,23.5
1702202187,Perino on Politics,54,25.35,27.5
1567204040,The Drill Down with Peter Schweizer,53,25.3,28.7
1751785203,Brad vs Everyone,52,25.3,28.3
1050430296,The New Yorker Radio Hour,52,25.17,27.1
1725442221,Hawk Podcasts,51,25.42,25.1
1258635512,Radio Atlantic,50,25.17,30.5
1294461271,GZERO World with Ian Bremmer,49,25.31,29.4
1674095262,The Wright Report,49,25.16,29.8
1253076699,The Michael Berry Show,48,25.45,33.1
1634341981,Antiwar News With Dave DeCamp,47,25.38,31.9
1538788132,Tangle,47,25.13,29.6
1493858530,Hood Politics with Prop,47,25.74,33.3
1551582052,The Lincoln Project,46,25.3,32.5
1452065072,Newt's World,46,25.01,32.4
1594728054,The Great America Show,45,25.6,35.6
1093260018,Slate News,43,25.54,29.8
1172546141,The President’s Inbox,42,25.44,36.0
682478916,War on the Rocks,42,25.16,33.5
1356662668,Politically Georgia,41,25.82,33.9
1495601614,Verdict with Ted Cruz,41,25.35,35.7
73330715,On the Media,41,25.39,38.5
1599891719,Seattle Nice,41,25.65,38.0
1728340033,Mission Implausible,40,25.66,37.3
1743030473,The Rest Is Politics: US,40,25.57,41.1
1818418128,Pod Force One,40,26.12,44.5
1647025876,Wendy Bell Radio Podcast,40,25.32,38.0
1788891712,It's A Numbers Game with Ryan Girdusky,39,25.22,39.0
1195206601,The Intercept Briefing,39,25.42,40.2
1868807558,Batya!,39,25.31,39.9
1671451793,Maiden Mother Matriarch with Louise Perry,39,26.44,43.1
1695205478,What Really Matters with Walter Russell Mead,39,25.34,36.7
1721969693,Politix,39,25.31,38.4
1635446643,The Coffee Klatch with Robert Reich,39,25.34,39.6
268213039,The Political Scene | The New Yorker,38,25.13,41.7
1265845136,Stay Tuned with Preet,38,25.03,37.8
1574741668,American Prestige,38,25.42,47.1
1364113251,The Beat with Ari Melber,38,25.21,41.5
1660317917,Defending Democracy with Marc Elias,38,25.08,42.6
1314368109,The 11th Hour with Ali Velshi,37,25.65,42.4
1314170606,All In with Chris Hayes,36,25.03,42.1
1606834013,The Josh Hammer Show,36,25.23,42.1
1774505095,Raging Moderates with Scott Galloway and Jessica Tarlov,36,26.01,41.7
1570432345,Firing Line with Margaret Hoover,35,25.0,43.5
1111319839,The Conversation with Dasha Burns,35,25.09,42.0
78911087,Face the Nation with Margaret Brennan,35,25.48,46.0
1692806415,The Briefing with Jen Psaki,34,25.25,41.7
1495251160,John Solomon Reports,34,25.73,45.2
1535255041,Unf*cking The Republic,34,25.6,37.2
1367201919,Deadline: White House,34,25.32,42.4
1696974077,The Source with Kaitlan Collins,33,25.76,46.1
1531192509,Bad Faith,33,25.22,8.5
1822142909,Glenn Diesen - Greater Eurasia Podcast,33,25.68,44.9
1767877239,No Gods No Mayors,33,25.23,63.7
1112258664,Russian Roulette,32,25.25,45.7
1592116227,The Breitbart News Daily Podcast,32,25.72,47.1
1595408601,The PoliticsGirl Podcast,32,25.37,50.0
1441649707,Straight White American Jesus,32,25.3,45.4
387042247,Washington Today,32,25.55,55.1
1818658022,"Life, Liberty & Levin Podcast",32,25.14,46.9
1509826894,RealClearPolitics Podcast,32,25.5,46.7
1645614328,Fast Politics with Molly Jong-Fast,32,25.32,47.2
545045867,Scott Horton Show - Just the Interviews,32,25.24,45.2
1873028393,Politics Chat,32,25.51,47.4
1635418897,The Chris Cuomo Project,32,25.18,45.3
1456045551,Talking Feds,31,25.87,54.9
1549502623,Cleanup on Aisle 45 with AG & Harry Dunn,31,25.75,50.4
716825890,The Tom Woods Show,31,25.51,48.5
969924303,The Skepticrat,31,25.52,49.9
1462195742,The Al Franken Podcast,31,25.09,47.7
1839861250,The Moment with Jorge Ramos and Paola Ramos,31,25.46,50.4
