collection_id,show_name,publisher,window_months,n_episodes,total_hours,median_ep_minutes,feed_truncated
1192761536,Pod Save America,Pod Save America,12,150,206.45,82.3,False
1192761536,Pod Save America,Pod Save America,18,218,298.1,82.1,False
1192761536,Pod Save America,Pod Save America,24,305,389.05,76.0,False
1192761536,Pod Save America,Pod Save America,36,444,530.65,71.6,False
1510240831,The MeidasTouch Podcast,MeidasTouch Network,12,1772,801.23,21.5,False
1510240831,The MeidasTouch Podcast,MeidasTouch Network,18,2503,1096.99,21.1,False
1510240831,The MeidasTouch Podcast,MeidasTouch Network,24,3020,1316.89,20.9,False
1510240831,The MeidasTouch Podcast,MeidasTouch Network,36,3601,1635.03,20.5,False
1794450472,Bulwark Takes,The Bulwark,12,500,236.07,23.3,True
1794450472,Bulwark Takes,The Bulwark,18,500,236.07,23.3,True
1794450472,Bulwark Takes,The Bulwark,24,500,236.07,23.3,True
1794450472,Bulwark Takes,The Bulwark,36,500,236.07,23.3,True
1447684472,The Bulwark Podcast,The Bulwark,12,257,247.02,56.9,True
1447684472,The Bulwark Podcast,The Bulwark,18,382,368.28,56.9,True
1447684472,The Bulwark Podcast,The Bulwark,24,500,466.81,54.7,True
1447684472,The Bulwark Podcast,The Bulwark,36,500,466.81,54.7,True
1730358737,Letters from an American,Heather Cox Richardson,12,351,70.15,12.1,False
1730358737,Letters from an American,Heather Cox Richardson,18,523,105.86,12.2,False
1730358737,Letters from an American,Heather Cox Richardson,24,683,135.67,11.9,False
1730358737,Letters from an American,Heather Cox Richardson,36,823,159.58,11.6,False
1750591415,Candace,Candace Owens,12,165,177.4,62.4,True
1750591415,Candace,Candace Owens,18,262,267.11,59.2,True
1750591415,Candace,Candace Owens,24,377,375.11,56.8,True
1750591415,Candace,Candace Owens,36,402,391.92,56.0,True
1617887885,The President's Daily Brief,The First TV,12,578,228.49,22.5,False
1617887885,The President's Daily Brief,The First TV,18,866,331.31,21.4,False
1617887885,The President's Daily Brief,The First TV,24,1156,427.64,19.6,False
1617887885,The President's Daily Brief,The First TV,36,1570,538.7,17.7,False
1050430296,The New Yorker Radio Hour,WNYC Studios and The New Yorker,12,105,51.61,27.2,False
1050430296,The New Yorker Radio Hour,WNYC Studios and The New Yorker,18,157,74.98,27.0,False
1050430296,The New Yorker Radio Hour,WNYC Studios and The New Yorker,24,212,100.35,26.9,False
1050430296,The New Yorker Radio Hour,WNYC Studios and The New Yorker,36,320,149.62,26.8,False
1057255460,The NPR Politics Podcast,NPR,12,268,87.12,18.4,False
1057255460,The NPR Politics Podcast,NPR,18,400,123.34,17.5,False
1057255460,The NPR Politics Podcast,NPR,24,535,161.23,17.1,False
1057255460,The NPR Politics Podcast,NPR,36,802,236.39,16.6,False
1865794721,Real Baron Podcast,Baron Coleman,12,143,459.93,202.2,True
1865794721,Real Baron Podcast,Baron Coleman,18,143,459.93,202.2,True
1865794721,Real Baron Podcast,Baron Coleman,24,143,459.93,202.2,True
1865794721,Real Baron Podcast,Baron Coleman,36,143,459.93,202.2,True
1495601614,Verdict with Ted Cruz,Premiere Networks,12,407,238.18,33.9,False
1495601614,Verdict with Ted Cruz,Premiere Networks,18,588,342.16,33.7,False
1495601614,Verdict with Ted Cruz,Premiere Networks,24,698,412.84,34.3,False
1495601614,Verdict with Ted Cruz,Premiere Networks,36,902,546.64,35.6,False
1645614328,Fast Politics with Molly Jong-Fast,iHeartPodcasts,12,208,164.7,47.6,False
1645614328,Fast Politics with Molly Jong-Fast,iHeartPodcasts,18,312,244.92,47.2,False
1645614328,Fast Politics with Molly Jong-Fast,iHeartPodcasts,24,406,319.59,47.1,False
1645614328,Fast Politics with Molly Jong-Fast,iHeartPodcasts,36,566,452.41,48.2,False
1640311112,The Necessary Conversation,The Necessary Conversation,12,90,84.59,61.6,False
