episode_id,show_id,engine,model,language,n_segments,n_words,realtime_factor,wall_seconds
0cfcaae431e0e176,73329719,whisper,large-v3,en,133,8868,46.17,72.2
234b1cef224119c1,73329719,whisper,large-v3,en,138,8786,47.19,71.3
35291a4d7852fd97,73329719,whisper,large-v3,en,134,9326,45.9,73.9
4e7e75c84df52d3c,73329719,whisper,large-v3,en,132,8910,47.34,71.3
52ed5fe63affbcc0,73329719,whisper,large-v3,en,127,8295,50.66,67.0
54b752ccc6b27819,73329719,whisper,large-v3,en,135,9238,44.84,74.6
60a1c066ec966103,73329719,whisper,large-v3,en,131,8996,46.85,72.2
6e52aa19cd841505,73329719,whisper,large-v3,en,137,8431,48.56,69.6
753d46f17c1c0ec2,73329719,whisper,large-v3,en,129,8528,48.93,69.0
7b4eaf11c9fd7da9,73329719,whisper,large-v3,en,126,8648,48.37,69.5
93904f5754235ac9,73329719,whisper,large-v3,en,129,8653,49.97,67.6
1eabdbd396cfd9e8,73329719,whisper,large-v3,en,124,8473,51.16,65.8
021359a0f5bf83c9,73331636,whisper,large-v3,en,50,3150,47.92,25.9
029dd21aefaa51f5,73331636,whisper,large-v3,en,20,1275,48.43,11.7
05dcfd6216fa1fa5,73330715,whisper,large-v3,en,79,4641,52.49,38.1
06e6201e22e78835,75462585,whisper,large-v3,en,50,3355,46.3,26.8
086424dfd7df5b95,73331636,whisper,large-v3,en,234,15231,48.2,119.0
027075f1186f1807,268213039,whisper,large-v3,en,106,8790,44.75,63.5
06e00a50f64d0132,219258773,whisper,large-v3,en,33,2443,44.38,19.4
093b8857cd2116bb,124960485,whisper,large-v3,en,160,10505,53.23,79.8
01516a7cde1b380f,402050558,whisper,large-v3,en,156,11030,50.25,84.9
01707f50fc4963d2,402050558,whisper,large-v3,en,138,8995,49.32,71.4
035b76ade37ae484,702998658,whisper,large-v3,en,137,9735,42.26,76.3
0150d46d8cb5cff2,791564318,whisper,large-v3,en,111,7596,55.26,57.6
020398d809e8565d,791564318,whisper,large-v3,en,90,6684,51.08,50.2
02079f0419c6e533,929121341,whisper,large-v3,en,140,10837,41.92,87.5
004ff4bcf1c258d8,1057255460,whisper,large-v3,en,62,4615,43.38,35.0
017cde7b1049d1b2,1057255460,whisper,large-v3,en,90,6335,43.48,49.4
031e493a950ce1da,1072469956,whisper,large-v3,en,38,2782,43.57,21.9
02554e231fb253d6,1093260018,whisper,large-v3,en,87,6010,51.41,46.8
0478a7f0767b5633,956270301,whisper,large-v3,en,186,15070,41.4,111.1
00995a93fad856d3,1138657182,whisper,large-v3,en,92,7558,44.6,56.1
02c3a92ef86a4d20,1138657182,whisper,large-v3,en,125,10677,42.62,75.9
03791f7e80f7d0c6,1169056746,whisper,large-v3,en,17,1381,39.98,11.4
04f454454700538f,1147092464,whisper,large-v3,en,197,16569,39.33,124.1
02598c159a43a1ea,1192761536,whisper,large-v3,en,238,17580,43.83,134.6
00318555db5678f8,1253076699,whisper,large-v3,en,81,5800,53.26,45.9
0264582250d7486a,1195206601,whisper,large-v3,en,116,7378,50.8,60.0
0276a4c53e4b8940,1208232103,whisper,large-v3,en,38,2826,45.95,22.3
02849fba168f07de,1289062927,whisper,large-v3,en,141,9452,51.39,73.3
03dd10d6b9811ba5,1303660358,whisper,large-v3,en,39,2385,50.21,20.2
0252f816cb60ac77,1303660358,whisper,large-v3,en,74,5353,44.65,40.9
046199f970bdd85b,1172546141,whisper,large-v3,en,107,7787,47.67,58.1
0174cb9d99ebb43a,1314170606,whisper,large-v3,en,107,8252,44.19,62.1
01f54bf28d2dc203,1356662668,whisper,large-v3,en,80,5534,44.1,42.3
034b52a3259ad84d,1314368109,whisper,large-v3,en,114,8960,39.43,69.7
013bcec394fc6ea3,1364113251,whisper,large-v3,en,104,7403,47.01,56.6
041e6aac1a46fcdb,1364113251,whisper,large-v3,en,96,7063,48.66,54.1
04c68c5559ba99f9,1314368109,whisper,large-v3,en,108,8192,45.21,62.2
04e84280fd87872b,1303660358,whisper,large-v3,en,73,5633,45.7,42.1
04ec0f2f6b56a4b2,1294461271,whisper,large-v3,en,56,4251,49.53,31.8
03de9f10b385b409,1441649707,whisper,large-v3,en,131,11219,46.2,81.5
04c7864729e3e2f5,1449848509,whisper,large-v3,en,147,13349,39.66,98.7
03986589ffa9d9bb,1462195742,whisper,large-v3,en,125,9779,45.38,72.2
036ef5d2aca42441,1467297559,whisper,large-v3,en,183,13528,40.47,108.2
00dcf26a8a694dff,1480605295,whisper,large-v3,en,19,1378,45.84,11.6
01303a040cce60f6,1474001390,whisper,large-v3,en,291,22620,42.73,178.0
024b2252a1f051a4,1482179882,whisper,large-v3,en,121,7814,53.11,61.7
02ec3765edfe23fd,1493229344,whisper,large-v3,en,82,6618,45.57,50.0
012986bc7a8a913e,1495251160,whisper,large-v3,en,107,7839,42.52,60.3
02a13553b913f283,1495601614,whisper,large-v3,en,102,7010,47.63,55.4
021cfbb4fda3d9f4,1507444393,whisper,large-v3,en,177,13524,47.0,104.2
03c21abcd5950423,1485186805,whisper,large-v3,en,48,3285,55.8,26.2
040f5fdda1daecb7,1515399733,whisper,large-v3,en,76,5638,41.24,44.4
00ca9fa1557d2987,1531192509,whisper,large-v3,en,19,1342,38.66,11.3
0420d425ca0ac6e1,1515399733,whisper,large-v3,en,121,9230,42.53,70.8
04247e8127af617e,1490993194,whisper,large-v3,en,138,10117,47.51,77.7
03cb9f40d0c26264,1536984072,whisper,large-v3,en,100,7546,49.97,58.4
044b58c3aa411b71,1536984072,whisper,large-v3,en,136,9853,46.05,74.5
02d4d6063be92e6b,1548086514,whisper,large-v3,en,83,5779,56.9,45.2
049b8f748e55704a,1536984072,whisper,large-v3,en,85,6162,48.74,48.7
049c7433e9ed69bd,1480605295,whisper,large-v3,en,24,1623,46.46,13.1
04b0c313a1ce75f0,1480605295,whisper,large-v3,en,19,1426,46.86,11.5
04d80e5688652fa2,1536169792,whisper,large-v3,en,159,11479,49.25,86.5
00a2b096c1b2a5b2,1551206847,whisper,large-v3,en,72,4650,47.91,37.7
026971415f86482f,1551206847,whisper,large-v3,en,57,4051,50.52,30.9
02bf7b89be3eb580,1567204040,whisper,large-v3,en,66,4748,41.87,36.8
04c3588c9cf3f804,1549624070,whisper,large-v3,en,238,18341,48.59,136.7
04dfa9ef51f4f107,1495251160,whisper,large-v3,en,120,8863,43.58,67.6
04ed763d44856d16,1364113251,whisper,large-v3,en,99,7538,46.21,57.1
0352457ac82f7269,1579061364,whisper,large-v3,en,260,21713,38.12,161.3
000b47b40363bc87,1587936366,whisper,large-v3,en,59,3765,49.27,30.8
