item,label,HS or less_b,HS or less_p,HS or less_pw,HS or less_N,some college_b,some college_p,some college_pw,some college_N,BA+_b,BA+_p,BA+_pw,BA+_N,inter_b,inter_p,inter_pw,q_inter,q_low
Q1,life ladder now,0.2809590633754814,0.009771144849077137,0.01,258,0.040377267509014374,0.7185760422881596,0.755,461,-0.11536045246558188,0.03889589674726275,0.015,467,-0.12149773094790389,0.0075221566758500264,0.0075,0.41371861717175146,0.2687064833496213
Q2,life ladder in 5 yrs,0.18841252792070895,0.11877431292538954,0.0925,257,-0.03264887149920942,0.7593757285504122,0.765,458,-0.0835472615793153,0.32392126351674005,0.2225,466,-0.07447155369534394,0.178169174005681,0.215,0.5505154927564623,0.6532587210896424
Q3,income difficulty (higher=worse),0.013395146808347268,0.926059172359437,0.915,261,-0.06830843029518499,0.3465940488358703,0.325,466,0.14248577908266583,0.13674379971488734,0.1225,470,0.11278657141943782,0.03197741039542245,0.0425,0.5312266070282521,0.9943969590492241
Q10,attends community events,-0.027396163332811148,0.7314535574379917,0.6575,260,-0.005609471097122825,0.9259506444699537,0.935,466,-0.15873503478839987,0.09188231005082552,0.025,471,-0.06862217217061962,0.10090683942836037,0.0725,0.5312266070282521,0.9943969590492241
Q18A,trust faith leaders,0.03339526963458685,0.7941603114931309,0.7675,260,-0.1113704245977901,0.04891667436237526,0.015,463,-0.07411543949612345,0.31338939134486365,0.2125,470,-0.04782762214648636,0.22461961515765588,0.24,0.5505154927564623,0.9943969590492241
Q18B,trust business leaders,0.06487625650084891,0.48548296578028505,0.45,261,-0.11536373322958896,0.11436574048612402,0.045,465,-0.014312785225337413,0.8725956949097257,0.7725,470,-0.05098165915562108,0.08432552507292009,0.0475,0.5312266070282521,0.9943969590492241
Q18C,trust elected officials,-0.001888131121245834,0.9809445116025538,0.9575,261,-0.050687206782053865,0.25238619037615934,0.2175,461,0.00785704637723851,0.8898591129046992,0.8675,471,-0.04897619222542178,0.16242912304189025,0.1875,0.5505154927564623,0.9943969590492241
Q18D,trust education officials,0.05757522941020878,0.5262668913707718,0.48,260,0.011941412824316183,0.8528657237273966,0.8175,465,-0.0017257059465220492,0.9770161708159932,0.985,471,-0.02099428841965626,0.4726263318901004,0.4475,0.7220680070543201,0.9943969590492241
Q18E,trust family/friends,0.106000164095468,0.1933792572111537,0.1775,261,-0.180788873480155,0.026474314819390304,0.0175,465,-0.10648698518823305,0.29572904275891365,0.1025,471,-0.08527917784669539,0.021038591774488732,0.0125,0.5312266070282521,0.8360046864608196
Q19,political attention,0.021151347422464925,0.8649564263300694,0.8675,261,-0.046539598527589925,0.2975767121758989,0.1775,466,0.021350222619940077,0.6814646508070993,0.5975,471,0.004676633016083514,0.8495703408684173,0.8575,0.9927004800111023,0.9943969590492241
Q21,social media time,0.024587334074829895,0.8503072736016707,0.82,258,-0.07863693588065021,0.26998687244023006,0.1375,463,0.16950516525520096,0.013110659731730569,0.0175,469,0.06908637997024207,0.09842454165915697,0.0425,0.5312266070282521,0.9943969590492241
