item,label,total,p_total,pw_total,direct,p_direct,pw_direct,edu_b,edu_p,indirect,N,q_total,q_direct
Q1,life ladder now,-0.019937785665191114,0.7410570467591594,0.7283333333333334,0.010112288001396182,0.8570257969554369,0.8483333333333334,0.13423385839269694,0.0471972374440248,-0.028440671152396967,1186,0.9407430563286246,0.9819967459912593
Q2,life ladder in 5 yrs,-0.04686843762843759,0.42326247888536866,0.4583333333333333,-0.021597713208553224,0.7152007025573951,0.7283333333333334,0.11779942341679189,0.02099695698631034,-0.024958640863453146,1181,0.9407430563286246,0.9819967459912593
Q3,income difficulty (higher=worse),0.07267090869005918,0.24089207162183612,0.16666666666666666,0.038928946681026616,0.5213638770429715,0.42833333333333334,-0.16000171605054508,0.007613630269709204,0.033900211500292564,1197,0.9407430563286246,0.9819967459912593
Q10,attends community events,-0.11350318699897248,0.06130878184206422,0.015,-0.07580081421975121,0.15153436064818554,0.08666666666666667,0.1791670304977213,0.000539136979556859,-0.03796084428140375,1197,0.9407430563286246,0.9819967459912593
Q18A,trust faith leaders,-0.04153624817679519,0.4774475241512765,0.2866666666666667,-0.05215982412418771,0.33315935776399214,0.15,-0.04999365279816328,0.23268124179155397,0.01059235766567989,1193,0.9407430563286246,0.9819967459912593
Q18B,trust business leaders,-0.040048672961399606,0.5888409893358882,0.43833333333333335,-0.03951690404405716,0.5796016350889004,0.415,0.0025404407909280077,0.9339236359803826,-0.0005382534777891002,1196,0.9407430563286246,0.9819967459912593
Q18C,trust elected officials,-0.02314525107961546,0.5648316519259923,0.54,-0.02575516701539829,0.5551297469668001,0.5783333333333334,-0.012384457545061713,0.6728043587046029,0.002623945170446538,1193,0.9407430563286246,0.9819967459912593
Q18D,trust education officials,0.016224329767368355,0.711499134875297,0.6916666666666667,0.01701139009227041,0.6949450742258385,0.665,0.003738149218784556,0.8742059401279758,-0.0007920168124722945,1196,0.9407430563286246,0.9819967459912593
Q18E,trust family/friends,-0.0911035281588023,0.15270647102899276,0.02,-0.09329760999288082,0.11368632346006956,0.013333333333333334,-0.010375034959862597,0.8001766923263914,0.0021982006702425815,1197,0.9407430563286246,0.9819967459912593
Q19,political attention,-0.018506613069336927,0.5313407489450788,0.5633333333333334,-0.005767001899503899,0.8444688039761017,0.8333333333333334,0.05951215563905696,0.03009937743707196,-0.012609081407383359,1198,0.9407430563286246,0.9819967459912593
Q21,social media time,0.04770934694532684,0.47085039061572137,0.395,0.04280660854846511,0.5075356612354678,0.43833333333333335,-0.02351507397931895,0.46965955983690105,0.00498223394736661,1190,0.9407430563286246,0.9819967459912593
Q22,people like me valued,-0.04286957417859873,0.4808995437900203,0.53,-0.035480535993237826,0.5581262887153238,0.615,0.0346697335790855,0.42339828780590605,-0.007345616847124994,1195,0.9407430563286246,0.9819967459912593
