outcome,between,one,addr,both,all9,N
education,0.0969356199731265,0.027808655656345382,0.044761463304315185,0.04924246200629767,0.06972989181064049,1198
election distrust,0.043964650382182224,0.028963529835414725,0.010997224566586694,0.02884960397852443,0.036444920916846923,1194
cynicism,0.022198188922685214,0.007622911669849075,0.0026608224033136674,0.007035954721631765,0.01168120689192087,1197
life ladder,0.009869958624918795,0.022319739975026898,0.0035299579887796417,0.021628159573044536,0.018598250166081187,1186
income difficulty,0.03357637310446793,0.024088425248326994,0.00902083701438694,0.02382348076606322,0.02680517101739588,1197
social media time,0.017229734320254764,0.009574358295852403,0.004904874861410891,0.00957484230542538,0.011403056652072086,1190
attention,0.0068649097505739665,0.0,0.0,0.0,0.00404040711002962,1198
people like me valued,0.020423375302638935,0.011265827949039964,0.0038653774212663583,0.010689887810183984,0.006444969622182106,1195
democracy doing well,0.0718415378087931,0.0005063168606369572,0.0,0.0,0.029948425319745176,1185
trust media,0.028325292429933757,0.004585228708243405,0.001876456244949476,0.004073665047776287,0.01681729964540357,1195
leaders accountable,0.0,0.0,0.000917862972017347,9.595618094804248e-05,0.0,1193
age,0.17473643960869145,0.02734423191473556,0.015804293354352406,0.029281193817454865,0.1197613292292875,1198
