verbatim,host,show,show_id
heather cox richardson,heather cox richardson,Letters from an American,1730358737
heather cox richardson podcasts,heather cox richardson,Letters from an American,1730358737
heather cox richardson podcast,heather cox richardson,Letters from an American,1730358737
heather cox richardson  podcast,heather cox richardson,Letters from an American,1730358737
benny johnson,benny johnson,The Benny Show,1584730781
benny. johnson,benny johnson,The Benny Show,1584730781
mark levin,mark levin,"Life, Liberty & Levin Podcast",1818658022
the mark levin show,mark levin,"Life, Liberty & Levin Podcast",1818658022
mark levin podcast,mark levin,"Life, Liberty & Levin Podcast",1818658022
mark levin show,mark levin,"Life, Liberty & Levin Podcast",1818658022
candace owens,candace owens,Candace,1750591415
candace owens podcast,candace owens,Candace,1750591415
brian tyler cohen,brian tyler cohen,No Lie with Brian Tyler Cohen,1515399733
steven crowder,steven crowder,Louder with Crowder,929121341
robert reich,robert reich,The Coffee Klatch with Robert Reich,1635446643
russell brand,russell brand,Stay Free with Russell Brand,1648125917
tim miller,tim miller,The Bulwark Podcast,1447684472
tim miller podcasts,tim miller,The Bulwark Podcast,1447684472
hugh hewitt pod,hugh hewitt,The Hugh Hewitt Show: Highly Concentrated,1517313007
hugh hewitt,hugh hewitt,The Hugh Hewitt Show: Highly Concentrated,1517313007
james carville,james carville,Politics War Room with James Carville & Al Hunt,1484862164
keith olbermann,keith olbermann,Countdown with Keith Olbermann,1633301179
keith olbermann podcast,keith olbermann,Countdown with Keith Olbermann,1633301179
kyle kulinski,kyle kulinski,The Kyle Kulinski Show,1880163995
david pakman,david pakman,The David Pakman Show,402050558
the david pakman show,david pakman,The David Pakman Show,402050558
david pakman show,david pakman,The David Pakman Show,402050558
glenn greenwald,glenn greenwald,System Update with Glenn Greenwald,1669610956
michael berry,michael berry,The Michael Berry Show,1253076699
graham allen,graham allen,The Graham Allen Show,1456850698
wendy bell,wendy bell,Wendy Bell Radio Podcast,1647025876
wendy bell radio,wendy bell,Wendy Bell Radio Podcast,1647025876
wendy bell podcast,wendy bell,Wendy Bell Radio Podcast,1647025876
marc elias,marc elias,Defending Democracy with Marc Elias,1660317917
harry litman,harry litman,Talking Feds,1456045551
nick freitas,nick freitas,Making the Argument with Nick Freitas,1506127536
the kyle seraphin show,kyle seraphin,The Kyle Seraphin Show,1654162813
kyle seraphin show,kyle seraphin,The Kyle Seraphin Show,1654162813
harry sisson,harry sisson,The Harry Sisson Show,1871628261
victor davis hanson,victor davis hanson,The Victor Davis Hanson Show,1570380458
steve bannon,steve bannon,Bannon`s War Room,1485351658
ben meiselas,ben meiselas,The MeidasTouch Podcast,1510240831
rick wilson,rick wilson,The Lincoln Project,1551582052
