topic,n,shows,lda_raw,lda_within,L_within,R_within,words
T0,431,111,0.016799472897238526,0.00210147997382907,0.016643768238084805,-0.024570432459451348,"election, vote, trump, voters, democrats, republicans, elections, voti"
T10,318,78,0.03362177075349126,0.023104486163704585,0.02526090651732472,0.021810466450276192,"harris, kamala, trump, biden, campaign, think, president, vance, debat"
T11,350,70,-0.20951464650003596,-0.0493056821806735,-0.03125478716091513,-0.10300189768082707,"ukraine, russia, putin, russian, war, nato, russians, europe, zelensky"
T12,2095,176,0.09174982345550428,0.008400540050280922,-0.006855006230512254,0.03050833931362798,"people, know, think, going, want, right, mean, said, thing, saying, wa"
T13,357,71,-0.11458731222203149,-0.016795104719090223,-0.009660391759910089,-0.1128120379592681,"ai, energy, data, technology, companies, climate, power, industry, nee"
T19,321,77,-0.14678268303667993,-0.09674694786336595,-0.08335954566147669,-0.11929021516064343,"court, supreme, case, justice, judge, decision, courts, judges, cases,"
T28,746,110,0.11641838380233906,0.019259771718974757,0.04122990605860937,0.03444385046878793,"got, know, right, going, guy, good, little, man, let, love, guys, thin"
T31,491,79,-0.03651562417049779,0.014816237079242872,0.0019128925143188237,0.08994182670248826,"israel, gaza, israeli, hamas, netanyahu, war, palestinian, palestinian"
T39,1337,138,0.01006065984915629,0.022851067578119718,0.007978730464063303,0.07496982800116098,"know, think, mean, kind, people, right, sort, lot, thing, things, goin"
T4,374,101,0.014652099080750774,0.04258386061550397,0.022651034901975918,0.1064136957655657,"tariffs, economy, market, economic, inflation, prices, trade, trump, g"
T40,539,124,-0.0445350301064067,0.025316585483387,0.07530618795160404,-0.051534827220299735,"iran, war, nuclear, iranian, trump, regime, israel, deal, president, s"
T41,308,58,-0.08661456950451596,-0.01714495431837409,-0.02030082828498839,0.034486112398757346,"people, need, right, work, community, going, want, folks, movement, kn"
T5,411,115,0.024454941384100773,-0.003947882866782166,0.04752654796025756,-0.0695532060952422,"know, family, said, people, life, years, time, kids, went, old, home, "
T56,425,71,-0.06352770080313898,0.02681923178372792,0.022210658259935033,0.015407694808781978,"case, attorney, justice, judge, department, jury, court, law, evidence"
T57,1044,165,0.0792354595469002,0.025332877585390365,0.02153696836235483,0.012050872768780961,"going, know, right, got, think, want, people, time, lot, things, said,"
T60,417,108,0.06460379628862306,0.05783669911165834,0.03236611928303236,0.12892463637934334,"thank, podcast, know, week, great, want, thanks, going, think, talk, g"
T61,1556,153,-0.13070501987108463,-0.034210730368690594,-0.03723024952787402,-0.02584566758941368,"think, way, lot, things, kind, question, sort, actually, point, time, "
T66,320,106,-0.07863739172647397,-0.06500133834829405,-0.03702294780562026,-0.11220026558500049,"ice, immigration, people, border, country, administration, illegal, en"
T72,319,93,-0.10647620620423658,-0.05285203940262435,-0.040436031220674705,-0.09050399050206655,"law, states, government, right, state, act, congress, rights, constitu"
T9,368,54,0.1402683785034763,0.05876818432286981,0.05707141895618094,0.06479838634011216,"slash, code, free, use, right, day, sleep, promo, time, summer, plus, "
