var,t,wild_p,boot_t_sd
Q33E,-4.471374870706469,0.002,1.3157571931060477
Q34B,-3.719456483215799,0.005,1.2571536434064219
Q35E,-3.2973845699526234,0.008,1.1963074568567693
Q32C,3.8825877033564336,0.017,1.6477815058006569
Q33H,-2.735504156535345,0.027,1.2155310380566702
Q32A,-2.606587252177432,0.042,1.2482149716719566
Q35C,-2.9525035604842373,0.049,1.4944009984191948
Q34A,-1.9932805162147578,0.061,1.0878369282543003
Q35D,-2.418056548596902,0.063,1.272486464397347
Q33C,1.9608088166259998,0.067,1.0967692268952256
Q35A,-2.11723853044885,0.08,1.2109736558710522
Q33F,-2.03473166305089,0.089,1.1906693951378051
Q33G,-1.6193630811756214,0.136,1.0872128933719192
Q36F,-1.772492227529601,0.136,1.2200713896479711
Q33A,-1.8894635748928947,0.164,1.396721862494553
Q36C,1.5584869976803657,0.175,1.1752233746513585
Q32I,-1.5454642486695207,0.192,1.1923951817377967
Q33B,1.290331361786501,0.222,1.0743012358700472
Q32J,-1.5504943337698882,0.234,1.2469889181965137
Q22,-1.4474253663299812,0.249,1.270106460446697
Q33J,-1.435713113376404,0.255,1.2969475692308832
Q36G,1.3285318420638856,0.257,1.0941804303702232
Q32E,1.4788703561019834,0.258,1.3326426773612274
Q33D,-1.2485110160247201,0.265,1.0876844743619025
Q32B,1.234624049180848,0.318,1.364502209816412
Q35B,-1.5348421176454947,0.322,1.5407249360612456
Q36J,-1.0525724838874837,0.351,0.9833284303512857
Q30C,-1.0348886235416632,0.354,1.2353713403394366
Q31,-0.9919608413459223,0.378,1.199189472644979
Q34C,-0.9179847561239305,0.38,1.1247615601550576
Q29,0.9171839411784015,0.406,1.1733940042920095
Q23,0.8593504347181378,0.453,1.2292873933122717
Q36H,0.7799288505863916,0.459,1.1419070404359404
Q32G,0.7469715865010093,0.465,1.1210604193699474
Q36I,0.7189029560447178,0.534,1.1372994007421424
Q34D,-0.6284056159663008,0.566,1.1328095762591588
Q32F,-0.7248173371700201,0.569,1.0785206528514841
Q36D,-0.5638195983784545,0.599,1.2779625551178067
Q36B,-0.5683011637598255,0.601,1.1415533052044393
Q32D,-0.7355533809922935,0.608,1.3261759338926407
Q36K,0.5061460779457841,0.632,1.0537049888396581
Q33I,-0.49109168339947523,0.673,1.279466734899196
Q36E,0.44042833380771157,0.692,1.1621466839839278
Q30B,0.2660305501588624,0.79,1.1492145529729416
Q36A,-0.27495608670061705,0.824,1.2734947214521741
Q30A,-0.18445735792141582,0.866,1.194753740176628
Q32H,-0.0961068278292466,0.938,1.2882764028338929
