collection_id,show_name,n_chunks,n_flagged,pct_flagged
1839861250,The Moment with Jorge Ramos and Paola Ramos,280,70,25.0
1050430296,The New Yorker Radio Hour,225,27,12.0
1551582052,The Lincoln Project,275,18,6.545454545454546
1476110521,Useful Idiots with Katie Halper and Aaron Maté,215,8,3.7209302325581395
1495251160,John Solomon Reports,255,7,2.7450980392156863
1728340033,Mission Implausible,258,3,1.1627906976744187
1493858530,Hood Politics with Prop,197,2,1.015228426395939
1093260018,Slate News,245,2,0.8163265306122449
1200016351,Pod Save the World,241,1,0.4149377593360996
1538788132,Tangle,261,1,0.3831417624521073
1633301179,Countdown with Keith Olbermann,189,0,0.0
1606834013,The Josh Hammer Show,242,0,0.0
1607829807,Mark Kaye Saves The Republic,205,0,0.0
1612691018,THE WEEKEND SHOW,192,0,0.0
1669610956,System Update with Glenn Greenwald,124,0,0.0
1614844654,Week In Review,203,0,0.0
1617887885,The President's Daily Brief,201,0,0.0
1623855270,The Foreign Affairs Interview,208,0,0.0
1648125917,Stay Free with Russell Brand,203,0,0.0
1634341981,Antiwar News With Dave DeCamp,203,0,0.0
1647085571,The Next Level,200,0,0.0
1599891719,Seattle Nice,208,0,0.0
1660317917,Defending Democracy with Marc Elias,191,0,0.0
1635446643,The Coffee Klatch with Robert Reich,172,0,0.0
1636762428,Dad Saves America,176,0,0.0
1640311112,The Necessary Conversation,183,0,0.0
1645614328,Fast Politics with Molly Jong-Fast,228,0,0.0
1654162813,The Kyle Seraphin Show,229,0,0.0
1647025876,Wendy Bell Radio Podcast,181,0,0.0
1635418897,The Chris Cuomo Project,170,0,0.0
1592116227,The Breitbart News Daily Podcast,180,0,0.0
1595408601,The PoliticsGirl Podcast,218,0,0.0
1594728054,The Great America Show,210,0,0.0
1548086514,The Arena,164,0,0.0
1548554104,Volts,194,0,0.0
1549272440,The Daily Punch,187,0,0.0
1549502623,Cleanup on Aisle 45 with AG & Harry Dunn,218,0,0.0
1549624070,Amarica's Constitution,189,0,0.0
1551206847,#SistersInLaw,200,0,0.0
1567204040,The Drill Down with Peter Schweizer,213,0,0.0
1568505052,MOATS with George Galloway,164,0,0.0
1570045623,Breaking Points with Krystal and Saagar,222,0,0.0
1570380458,The Victor Davis Hanson Show,174,0,0.0
1570432345,Firing Line with Margaret Hoover,188,0,0.0
1573813504,The Smerconish Podcast,203,0,0.0
1574741668,American Prestige,189,0,0.0
1576614213,American Conservative University,182,0,0.0
1579061364,Head in the Office,257,0,0.0
1584730781,The Benny Show,199,0,0.0
1585243541,Human Events Daily with Jack Posobiec,189,0,0.0
1586423406,The Focus Group Podcast,211,0,0.0
1587492577,The Mel K Show,195,0,0.0
1587936366,The Inside Story Podcast,184,0,0.0
1674095262,The Wright Report,220,0,0.0
1671451793,Maiden Mother Matriarch with Louise Perry,191,0,0.0
73329719,KQED's Forum,201,0,0.0
1679657705,Main Justice,192,0,0.0
1794450472,Bulwark Takes,213,0,0.0
1798460240,10 Minute Drill,233,0,0.0
1800671132,Destiny,245,0,0.0
1805186512,Going Rogue with Lara Logan,177,0,0.0
1809246826,The Keith Edwards Show,162,0,0.0
1810218232,Next Up with Mark Halperin,212,0,0.0
1818418128,Pod Force One,183,0,0.0
1818658022,"Life, Liberty & Levin Podcast",79,0,0.0
1820648828,The Joy Reid Show,205,0,0.0
1822142909,Glenn Diesen - Greater Eurasia Podcast,159,0,0.0
1843478428,Owen Report,166,0,0.0
1865794721,Real Baron Podcast,202,0,0.0
