guest_key,display_name,n_candidates,reason
cohen|brian|brian tyler,Brian Tyler Cohen,138,"name too common in DIME donor pool (n=138 same-name individuals, no recipient/candidate match) -- not search-tractable"
richardson|heather|heather cox,Heather Cox Richardson,47,"name too common in DIME donor pool (n=47 same-name individuals, no recipient/candidate match) -- not search-tractable"
bennett|roger|roger,Roger Bennett,106,"name too common in DIME donor pool (n=106 same-name individuals, no recipient/candidate match) -- not search-tractable"
sommer|william|will,Will Sommer,26,"name too common in DIME donor pool (n=26 same-name individuals, no recipient/candidate match) -- not search-tractable"
thompson|alexander|alex,Alex Thompson,118,"name too common in DIME donor pool (n=118 same-name individuals, no recipient/candidate match) -- not search-tractable"
rice|susan|susan,Susan Rice,219,"name too common in DIME donor pool (n=219 same-name individuals, no recipient/candidate match) -- not search-tractable"
perez|marie|marie gluesenkamp,Marie Gluesenkamp Perez,59,"name too common in DIME donor pool (n=59 same-name individuals, no recipient/candidate match) -- not search-tractable"
craig|joyce|joyce,Joyce Craig,39,"name too common in DIME donor pool (n=39 same-name individuals, no recipient/candidate match) -- not search-tractable"
anderson|kristen|kristen soltis,Kristen Soltis Anderson,122,"name too common in DIME donor pool (n=122 same-name individuals, no recipient/candidate match) -- not search-tractable"
sanders|samuel|sam,Sam Sanders,73,"name too common in DIME donor pool (n=73 same-name individuals, no recipient/candidate match) -- not search-tractable"
fisher|max|max,Max Fisher,32,"name too common in DIME donor pool (n=32 same-name individuals, no recipient/candidate match) -- not search-tractable"
weigel|david|dave,Dave Weigel,27,"name too common in DIME donor pool (n=27 same-name individuals, no recipient/candidate match) -- not search-tractable"
wachter|robert|bob,Dr. Bob Wachter,27,"name too common in DIME donor pool (n=27 same-name individuals, no recipient/candidate match) -- not search-tractable"
king|martin|martin luther,Martin Luther King III,99,"name too common in DIME donor pool (n=99 same-name individuals, no recipient/candidate match) -- not search-tractable"
wasserman|david|david,David Wasserman,74,"name too common in DIME donor pool (n=74 same-name individuals, no recipient/candidate match) -- not search-tractable"
montgomery|renee|renee,Renee Montgomery,25,"name too common in DIME donor pool (n=25 same-name individuals, no recipient/candidate match) -- not search-tractable"
stewart|jonathan|jon,Jon Stewart,152,"name too common in DIME donor pool (n=152 same-name individuals, no recipient/candidate match) -- not search-tractable"
nguyen|amanda|amanda,Amanda Nguyen,30,"name too common in DIME donor pool (n=30 same-name individuals, no recipient/candidate match) -- not search-tractable"
davidson|adam|adam,Adam Davidson,25,"name too common in DIME donor pool (n=25 same-name individuals, no recipient/candidate match) -- not search-tractable"
porter|nicole|nicole,Nicole Porter,43,"name too common in DIME donor pool (n=43 same-name individuals, no recipient/candidate match) -- not search-tractable"
brennan|margaret|margaret,Margaret Brennan,140,"name too common in DIME donor pool (n=140 same-name individuals, no recipient/candidate match) -- not search-tractable"
mason|jeff|jeff,Jeff Mason,66,"name too common in DIME donor pool (n=66 same-name individuals, no recipient/candidate match) -- not search-tractable"
garcia|jonathan|johnny,Johnny Garcia,192,"name too common in DIME donor pool (n=192 same-name individuals, no recipient/candidate match) -- not search-tractable"
voss|christopher|chris,Chris Voss,22,"name too common in DIME donor pool (n=22 same-name individuals, no recipient/candidate match) -- not search-tractable"
gomez|anna|anna,Anna Gomez,31,"name too common in DIME donor pool (n=31 same-name individuals, no recipient/candidate match) -- not search-tractable"
shapiro|benjamin|ben,Ben Shapiro,51,"name too common in DIME donor pool (n=51 same-name individuals, no recipient/candidate match) -- not search-tractable"
conway|george|george,George Conway,42,"name too common in DIME donor pool (n=42 same-name individuals, no recipient/candidate match) -- not search-tractable"
campbell|andrew|andy,Andy Campbell,297,"name too common in DIME donor pool (n=297 same-name individuals, no recipient/candidate match) -- not search-tractable"
burns|kenneth|ken,Ken Burns,136,"name too common in DIME donor pool (n=136 same-name individuals, no recipient/candidate match) -- not search-tractable"
cortese|michael|mike,Mike Cortese,34,"name too common in DIME donor pool (n=34 same-name individuals, no recipient/candidate match) -- not search-tractable"
