topic,avg_share_pct,top_words
T61,7.359,"think, way, lot, things, kind, question, sort, actually, point, time, different, right"
T12,7.16,"people, know, think, going, want, right, mean, said, thing, saying, way, things"
T57,6.392,"going, know, right, got, think, want, people, time, lot, things, said, let"
T39,5.75,"know, think, mean, kind, people, right, sort, lot, thing, things, going, stuff"
T28,3.143,"got, know, right, going, guy, good, little, man, let, love, guys, thing"
T64,3.041,"trump, donald, president, said, white, house, going, administration, maga, wants, saying, vance"
T49,2.705,"new, news, quote, said, today, week, president, morning, day, days, tonight, time"
T60,2.536,"thank, podcast, know, week, great, want, thanks, going, think, talk, good, today"
T5,2.504,"know, family, said, people, life, years, time, kids, went, old, home, young"
T72,1.881,"law, states, government, right, state, act, congress, rights, constitution, amendment, laws, federal"
T51,1.876,"america, country, american, people, united, states, president, great, world, americans, today, nation"
T0,1.793,"election, vote, trump, voters, democrats, republicans, elections, voting, republican, win, state, states"
T59,1.747,"information, story, said, government, evidence, fact, know, report, public, data, intelligence, security"
T40,1.643,"iran, war, nuclear, iranian, trump, regime, israel, deal, president, states, united, iranians"
T69,1.628,"power, people, democracy, government, political, system, country, party, control, american, democratic, right"
T50,1.617,"democrats, republicans, house, senate, congress, bill, republican, vote, trump, going, senator, president"
T34,1.542,"people, right, left, anti, political, wing, conservative, liberal, media, speech, politics, violence"
T55,1.519,"book, read, way, books, things, write, time, writing, wrote, actually, called, world"
T53,1.505,"money, million, dollars, billion, business, company, pay, fund, paid, government, financial, companies"
T41,1.486,"people, need, right, work, community, going, want, folks, movement, know, fight, local"
T66,1.423,"ice, immigration, people, border, country, administration, illegal, enforcement, trump, law, immigrants, federal"
T4,1.412,"tariffs, economy, market, economic, inflation, prices, trade, trump, going, jobs, tariff, rates"
T3,1.404,"tax, people, care, government, health, money, pay, going, taxes, cuts, budget, cut"
T46,1.399,"fucking, right, shit, na, gon, thing, guy, fuck, guys, got, blah, man"
T56,1.368,"case, attorney, justice, judge, department, jury, court, law, evidence, general, doj, criminal"
T31,1.331,"israel, gaza, israeli, hamas, netanyahu, war, palestinian, palestinians, state, hezbollah, lebanon, killed"
T47,1.269,"president, trump, administration, federal, department, government, secretary, national, job, security, office, executive"
T36,1.261,"society, world, class, capitalism, kind, human, social, way, right, system, idea, history"
T26,1.24,"police, violence, gun, shot, shooting, killed, car, video, happened, murder, death, man"
T38,1.239,"china, united, states, chinese, world, countries, foreign, american, global, taiwan, security, trade"
T13,1.205,"ai, energy, data, technology, companies, climate, power, industry, need, new, use, centers"
T10,1.183,"harris, kamala, trump, biden, campaign, think, president, vance, debate, vice, democrats, joe"
T19,1.129,"court, supreme, case, justice, judge, decision, courts, judges, cases, law, ruling, president"
T9,1.051,"slash, code, free, use, right, day, sleep, promo, time, summer, plus, order"
T11,0.978,"ukraine, russia, putin, russian, war, nato, russians, europe, zelensky, ukrainian, peace, ukrainians"
T68,0.95,"military, war, defense, hegseth, pete, force, army, pentagon, troops, air, forces, national"
T18,0.853,"health, people, medical, vaccine, covid, doctor, cancer, vaccines, rfk, research, drug, doctors"
T65,0.834,"obama, bush, george, president, reagan, years, party, said, time, politics, john, clinton"
T1,0.82,"women, men, woman, children, sex, young, trans, abortion, child, kids, gender, gay"
T35,0.818,"epstein, files, jeffrey, trump, release, maxwell, released, documents, bondi, sex, justice, victims"
T70,0.811,"water, building, pipe, pool, people, air, house, park, area, place, food, land"
T58,0.802,"new, york, party, democratic, democrats, city, mamdani, mayor, bernie, think, democrat, left"
T62,0.758,"media, news, fox, new, press, cbs, times, cnn, york, story, kimmel, post"
T15,0.724,"god, jesus, christ, life, lord, church, says, christian, love, man, faith, holy"
T52,0.721,"senate, graham, race, primary, republican, candidate, texas, state, think, party, maine, campaign"
T29,0.697,"war, world, soviet, history, ii, union, british, hitler, germany, know, empire, cold"
T43,0.683,"school, students, education, schools, university, college, kids, public, student, harvard, high, universities"
T73,0.643,"city, mayor, seattle, housing, council, know, police, crime, new, public, cities, people"
T23,0.642,"biden, joe, president, trump, obama, taylor, hunter, administration, clinton, greene, years, marjorie"
T24,0.617,"state, texas, virginia, states, governor, florida, new, redistricting, democrats, seats, map, beach"
T67,0.585,"charlie, kirk, tucker, carlson, candace, guys, point, owens, erica, turning, nick, saying"
T74,0.581,"uk, europe, canada, european, minister, british, prime, countries, party, france, country, germany"
T14,0.577,"black, white, people, race, rights, racist, racial, south, country, racism, american, brown"
T2,0.557,"movie, film, movies, kind, hollywood, watch, podcast, story, star, listen, new, documentary"
T17,0.546,"oil, gas, prices, energy, war, iran, going, saudi, strait, gulf, world, price"
T54,0.543,"prison, january, pardon, people, el, salvador, jail, convicted, gang, capitol, criminal, crimes"
T71,0.535,"gold, going, people, bitcoin, silver, system, bank, trump, time, world, money, crypto"
T37,0.533,"game, sports, team, world, play, baseball, football, games, cup, win, player, trade"
T27,0.527,"musk, elon, social, media, government, tech, people, tiktok, twitter, doge, tesla, world"
T63,0.495,"venezuela, trump, cuba, maduro, mexico, united, drug, states, president, country, america, government"
T25,0.489,"church, christian, pope, catholic, religious, religion, jewish, christians, jews, bible, faith, christianity"
T16,0.453,"news, slash, delta, podcast, little, way, right, washington, ground, different, app, episode"
T42,0.45,"fbi, patel, director, intelligence, kash, agents, cia, gabbard, tulsi, investigation, dan, law"
T6,0.445,"california, newsom, los, angeles, gavin, fire, san, state, governor, people, francisco, weather"
T21,0.44,"history, new, american, washington, jefferson, lincoln, victor, slavery, john, years, adams, hamilton"
T22,0.406,"georgia, carolina, state, south, north, county, governor, atlanta, know, got, going, jen"
T32,0.388,"chicken, day, time, free, stick, things, sugar, know, lincoln, actually, fresh, groons"
T8,0.368,"air, space, plane, flight, airport, moon, travel, fly, earth, airlines, traffic, flying"
T20,0.349,"npr, trump, president, podcast, listen, year, politics, house, terms, white, week, news"
T45,0.333,"music, new, radio, yorker, hour, peter, song, wnyc, schweitzer, things, summer, david"
T44,0.312,"know, podcast, unhoused, forum, talk, listen, michael, birdie, understand, therapist, space, hear"
T48,0.284,"de, la, en, el, seafoam, duracell, power, new, que, clorox, puerto, con"
T33,0.261,"coffee, conspiracy, cia, vegas, people, facetune, street, experience, things, use, theories, fremont"
T7,0.251,"insurance, tom, real, life, know, slash, carl, xm, sirius, question, said, clear"
T30,0.203,"lars, africa, south, oregon, larson, portland, state, farmers, welcome, hey, northwest, talk"
