show,n_chunks,d_eff_lda,d_eff_tlda
KQED's Forum,84,10.915832308512465,10.353236659968898
Antiwar News With Dave DeCamp,18,6.427365261804837,6.508260115363839
The Beat with Ari Melber,18,6.209325424966713,9.388596528022322
The Dishcast with Andrew Sullivan,17,5.759297764183135,6.101851782665524
TRUE ANON TRUTH FEED,16,5.82905689752276,7.97979373064309
Head in the Office,16,6.78717590249745,7.731240424847655
The David Pakman Show,16,5.777838057035999,7.656853762392559
The Brian Lehrer Show,15,5.855501235785191,6.982004428920463
The 11th Hour with Ali Velshi,14,6.593733379669371,8.464588093413361
John Solomon Reports,14,5.4493725892437075,8.944202184998998
Amarica's Constitution,14,5.108887222534226,3.925462866961742
Human Events Daily with Jack Posobiec,14,5.216444636795213,7.887836808541971
Liberty Lockdown,13,5.396527167587662,7.494956413324247
Pod Save America,13,5.512429935522251,8.715725027752734
Rational Security,12,6.873456616033489,5.282610765545727
Opening Arguments,12,4.576683081237326,7.217049038444042
The Fox News Rundown,11,5.022333154736053,6.947934379537759
Hacks On Tap,11,4.141895467126847,6.751625547474316
X22 Report,11,3.5358094434676723,6.72345163766276
No Lie with Brian Tyler Cohen,11,4.237613942577631,7.323592282411737
Jacobin Radio,11,4.181652957506893,7.464089904117565
The NPR Politics Podcast,9,3.629001015279042,5.3993219149080165
"Best of the Left - Leftist Perspectives on Progressive Politics, News, Culture, Economics and Democracy",9,3.6202406648744416,6.1004981566201
I Don't Speak German,9,3.770457770268796,5.05684154517504
The Inside Story Podcast,9,2.8935622745219884,4.688556813735888
Straight White American Jesus,8,3.6708420351690463,5.677061647548817
Talkin‘ Politics & Religion Without Killin‘ Each Other,8,3.6003142414263007,5.909073319596826
Week In Review,8,3.5421408769714535,5.102299024503891
Louder with Crowder,8,4.157451358987971,4.5991492962785365
