model,k,fit_time_s,c_v,npmi,k_eff,mean_chunk_entropy,n_near_empty,n_near_duplicate_pairs
LDA,5,2.379564119502902,0.37561810089653347,0.002786121711294334,4.670700921527218,0.5985621852577429,0,7
TLDA,5,1.7736483756452799,0.38383938102663573,0.010343663893761094,4.998752591130923,0.831552155280999,0,10
LDA,10,2.401603167876601,0.4151312160470385,0.0062339603031866765,7.779659045759424,0.7943413495877549,0,16
TLDA,10,1.9932453259825706,0.37983425745945676,0.011258048266299205,9.99923048589535,1.370691728746707,0,45
LDA,15,2.4103164449334145,0.4240081510038506,0.013913784327122864,11.342131530577657,0.8719663452685983,0,24
TLDA,15,2.328354647383094,0.38812191018927555,0.014680103132817857,14.998843383078302,1.5858162268850537,0,105
LDA,20,2.5787309762090445,0.4287143552631994,0.0162726867363153,14.624267687402277,0.877233904915634,0,39
TLDA,20,2.593492116779089,0.38886895915191333,0.014373741375351351,19.99618848200163,1.7935659790698588,0,190
LDA,30,2.979297187179327,0.4346837567612104,0.014471631079922163,20.42929199498719,0.9278105128657943,2,56
TLDA,30,5.381496177986264,0.3898399803140532,0.015339735645637561,29.99758054490349,2.1589086563973785,0,435
LDA,40,3.259924240410328,0.4287216805081748,0.0004619205393426265,25.25017066954604,0.9406092261909094,7,75
TLDA,40,10.776680959388614,0.3910405224135525,0.015532602429614437,39.995950350268515,2.3375929085232583,0,780
