show,cum_hours,d_eff,n_chunks
KQED's Forum,0.9102777777777776,2.81392582757838,7
KQED's Forum,1.8230555555555554,4.681102770372663,14
KQED's Forum,2.7513888888888887,5.901027686035289,21
KQED's Forum,3.679444444444444,6.071926448567832,28
KQED's Forum,4.609722222222222,6.945798703629177,35
KQED's Forum,5.538333333333333,7.745528631261701,42
KQED's Forum,6.466944444444445,8.390650804777376,49
KQED's Forum,7.396388888888889,8.916682461580193,56
KQED's Forum,8.324444444444444,9.29052901458176,63
KQED's Forum,9.254444444444443,10.040138051944878,70
KQED's Forum,10.184999999999999,10.274741433362584,77
KQED's Forum,11.114166666666666,10.915832308512465,84
The Beat with Ari Melber,0.6877777777777778,2.7123253891915184,6
The Beat with Ari Melber,1.3811111111111112,5.524337604519824,12
The Beat with Ari Melber,2.0716666666666668,6.209325424966713,18
The Dishcast with Andrew Sullivan,0.9533333333333334,1.9168782011700156,7
The Dishcast with Andrew Sullivan,1.7633333333333334,4.534161807886364,13
The Dishcast with Andrew Sullivan,2.422777777777778,5.759297764183135,17
